Rk,player_name,nation,position_1,position_2,Squad,Age,Born,matches_played,starts,minutes_played,90s_played,goals,assists,goal_contributions,non_penalty_goals,penalty_goals,penalty_attempts,yellow_cards,red_cards,expected_goals,expected_non_pen_goals,expected_assists,expected_non_pen_goal_contributions,progressive_carries,progressive_passes,progressive_passes_received
1,Brenden Aaronson,USA,MF,,Leeds United,23.0,2000.0,46,43,3551,39.5,9,2,11,9,0,0,1,0,11.3,11.3,5.7,17.1,84,160,243
2,Thelo Aasgaard,NOR,MF,FW,Luton Town,22.0,2002.0,17,17,1513,16.8,2,1,3,2,0,0,1,0,3.2,3.2,1.1,4.3,27,46,71
3,James Abankwah,IRL,DF,,Watford,20.0,2004.0,19,17,1384,15.4,0,0,0,0,0,0,4,1,0.1,0.1,0.3,0.3,21,55,9
4,Salis Abdul Samed,GHA,MF,,Sunderland,24.0,2000.0,10,3,283,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,15,10
5,Azeem Abdulai,SCO,FW,MF,Swansea City,21.0,2002.0,17,2,348,3.9,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,8,10,53
6,Ebou Adams,GAM,MF,,Derby County,28.0,1996.0,44,42,3789,42.1,6,1,7,6,0,0,12,0,5.2,5.2,1.9,7.1,27,131,77
7,Elijah Adebayo,ENG,FW,,Luton Town,26.0,1998.0,39,31,2425,26.9,5,0,5,5,0,0,1,0,12.8,12.8,1.1,13.9,31,20,144
8,Michael Adu-Poku,ENG,FW,,Watford,18.0,2005.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1
9,Enock Agyei,BEL,FW,MF,Burnley,19.0,2005.0,3,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,8,5,12
10,Anel Ahmedhodžić,BIH,DF,,Sheffield Utd,25.0,1999.0,38,35,3136,34.8,3,1,4,3,0,0,11,1,2.3,2.3,1.2,3.6,39,88,8
11,Semi Ajayi,NGA,DF,,West Brom,30.0,1993.0,15,14,1228,13.6,0,0,0,0,0,0,4,0,0.4,0.4,0.0,0.5,9,51,1
12,Milan Aleksić,SRB,MF,FW,Sunderland,18.0,2005.0,8,3,290,3.2,0,0,0,0,0,0,1,0,0.8,0.8,0.3,1.1,11,7,29
13,Ajibola Alese,ENG,DF,,Sunderland,23.0,2001.0,12,8,703,7.8,0,0,0,0,0,0,2,0,0.5,0.5,0.5,1.0,3,29,19
14,Jamie Allen,ENG,MF,,Coventry City,29.0,1995.0,21,12,1004,11.2,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,2,37,6
15,Joe Allen,WAL,MF,,Swansea City,34.0,1990.0,25,8,709,7.9,1,1,2,1,0,0,2,0,0.9,0.9,0.4,1.3,7,40,19
16,Millenic Alli,IRL,FW,DF,Luton Town,24.0,2000.0,16,6,766,8.5,4,0,4,4,0,0,1,0,1.3,1.3,0.3,1.7,41,14,53
17,Jak Alnwick,ENG,GK,,Cardiff City,31.0,1993.0,29,29,2610,29.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0
18,Will Alves,ENG,FW,MF,Cardiff City,19.0,2005.0,14,8,667,7.4,1,3,4,1,0,0,0,0,0.8,0.8,0.9,1.7,29,14,54
19,Steven Alzate,COL,MF,,Hull City,25.0,1998.0,28,21,1941,21.6,0,1,1,0,0,0,2,0,0.5,0.5,0.7,1.2,18,77,14
20,Zeki Amdouni,SUI,MF,,Burnley,23.0,2000.0,2,0,35,0.4,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1
21,Ethan Ampadu,WAL,DF,MF,Leeds United,23.0,2000.0,29,26,2285,25.4,0,0,0,0,0,0,7,0,0.6,0.6,1.5,2.0,26,106,9
22,Nordin Amrabat,MAR,FW,MF,Hull City,37.0,1987.0,10,2,288,3.2,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.5,14,14,30
23,Lucas Andersen,DEN,MF,FW,QPR,29.0,1994.0,33,13,1165,12.9,2,0,2,2,0,0,1,0,1.8,1.8,1.8,3.7,17,38,80
24,Joe Anderson,ENG,DF,,Sunderland,23.0,2001.0,2,1,99,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,9,6
25,Ryan Andrews,ENG,DF,MF,Watford,19.0,2004.0,38,21,2086,23.2,3,2,5,3,0,0,3,0,1.1,1.1,2.2,3.2,51,56,112
26,Jaidon Anthony,ENG,FW,MF,Burnley,24.0,1999.0,43,42,3661,40.7,8,7,15,8,0,0,4,0,9.4,9.4,8.1,17.5,184,159,375
