#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
1,Anthony Patterson,Goalkeeper,10/05/2000 (25),England,Sunderland AFC,"1,89m",right,01/07/2021,Sunderland AFC U23,€14.00m
-,Nathan Bishop,Goalkeeper,15/10/1999 (25),England,AFC Wimbledon,"1,85m",right,02/08/2023,Manchester United U21,€275k
16,Blondy Nna Noukeu,Goalkeeper,31/05/2001 (24),Cameroon Belgium,Sunderland AFC,"1,96m",right,02/08/2024,Stoke City,€150k
21,Simon Moore,Goalkeeper,19/05/1990 (35),England,Sunderland AFC,"1,91m",right,01/07/2024,Coventry City,€150k
5,Dan Ballard,Centre-Back,22/09/1999 (25),Northern Ireland England,Sunderland AFC,"1,87m",right,01/07/2022,Arsenal FC U21,€8.00m
-,Chris Mepham,Centre-Back,05/11/1997 (27),Wales England,West Bromwich Albion,"1,90m",right,30/08/2024,AFC Bournemouth,€6.00m
23,Jenson Seelt,Centre-Back,23/05/2003 (22),Netherlands Indonesia,VfL Wolfsburg,"1,95m",right,01/07/2023,PSV Eindhoven U21,€2.00m
13,Luke O'Nien,Centre-Back,21/11/1994 (30),England,Sunderland AFC,"1,74m",right,30/07/2018,Wycombe Wanderers,€1.50m
42,Aji Alese,Centre-Back,17/01/2001 (24),England Nigeria,Sunderland AFC,"1,92m",left,15/07/2022,West Ham United U21,€1.00m
45,Joe Anderson,Centre-Back,06/02/2001 (24),England,Sunderland AFC,"1,88m",left,31/01/2023,Everton FC U21,€175k
-,Zak Johnson,Centre-Back,25/05/2005 (20),England,Sunderland AFC,"1,88m",right,01/06/2025,Sunderland AFC U21,€75k
3,Dennis Cirkin,Left-Back,06/04/2002 (23),England Ireland,Sunderland AFC,"1,82m",left,11/08/2021,Tottenham Hotspur U23,€8.00m
33,Leo Hjelde,Left-Back,26/08/2003 (21),Norway England,Sunderland AFC,"1,90m",left,30/01/2024,Leeds United,€2.00m
-,Oliver Bainbridge,Left-Back,05/11/2004 (20),England,South Shields FC,"1,90m",left,,,€100k
32,Trai Hume,Right-Back,18/03/2002 (23),Northern Ireland,Sunderland AFC,"1,80m",right,04/01/2022,Linfield FC,€12.00m
2,Niall Huggins,Right-Back,18/12/2000 (24),Wales England,Wycombe Wanderers,"1,73m",right,20/08/2021,Leeds United U23,€800k
-,Ben Crompton,Right-Back,17/12/2003 (21),England,Ross County FC,"1,88m",left,,,-
-,Tom Lavery,Right-Back,19/12/2005 (19),England,Cliftonville FC,"1,90m",right,,,-
-,Pierre Ekwah,Defensive Midfield,15/01/2002 (23),France Ghana,AS Saint-Étienne,"1,89m",left,23/01/2023,West Ham United U21,€7.00m
20,Salis Abdul Samed,Defensive Midfield,26/03/2000 (25),Ghana Cote d'Ivoire,OGC Nice,"1,79m",right,30/08/2024,RC Lens,€5.50m
-,Jobe Bellingham,Central Midfield,23/09/2005 (19),England Ireland,Borussia Dortmund,"1,91m",right,01/07/2023,Birmingham City,€22.00m
28,Enzo Le Fée,Central Midfield,03/02/2000 (25),France,Sunderland AFC,"1,73m",right,01/07/2025,AS Roma,€18.00m
4,Dan Neil,Central Midfield,13/12/2001 (23),England,Sunderland AFC,"1,85m",left,01/07/2021,Sunderland AFC U23,€7.50m
8,Alan Browne,Central Midfield,15/04/1995 (30),Ireland,Middlesbrough FC,"1,79m",right,11/07/2024,Preston North End,€2.20m
-,Nectarios Triantis,Central Midfield,11/05/2003 (22),Greece Australia,Minnesota United FC,"1,91m",right,01/07/2023,Central Coast Mariners,€1.00m
-,Jay Matete,Central Midfield,11/02/2001 (24),England,Sunderland AFC,"1,76m",right,31/01/2022,Fleetwood Town,€400k
-,Ben Middlemas,Central Midfield,13/12/2004 (20),England,Sunderland AFC U21,"1,82m",right,,,-
-,Abdoullah Ba,Right Midfield,31/07/2003 (21),France Mauritania,Sunderland AFC,"1,80m",right,31/08/2022,Le Havre AC,€2.50m
11,Chris Rigg,Attacking Midfield,18/06/2007 (18),England,Sunderland AFC,"1,77m",left,01/07/2023,Sunderland AFC U21,€20.00m
-,Adil Aouchiche,Attacking Midfield,15/07/2002 (22),France Algeria,Aberdeen FC,"1,81m",right,01/09/2023,FC Lorient,€1.50m
30,Milan Aleksic,Attacking Midfield,30/08/2005 (19),Serbia,Cracovia,"1,79m",right,30/08/2024,FK Radnicki 1923 Kragujevac,€700k
-,Harrison Jones,Attacking Midfield,25/12/2004 (20),England,Sunderland AFC,"1,85m",left,01/07/2025,Sunderland AFC U21,€150k
-,Jack Clarke,Left Winger,23/11/2000 (24),England,Ipswich Town,"1,81m",right,09/07/2022,Tottenham Hotspur,€15.00m
40,Tom Watson,Left Winger,08/04/2006 (19),England,Brighton & Hove Albion,"1,90m",right,01/07/2024,Sunderland AFC U21,€8.00m
14,Romaine Mundle,Left Winger,24/04/2003 (22),England Jamaica,Sunderland AFC,-,right,01/02/2024,Standard Liège,€6.00m
-,Jewison Bennette,Left Winger,15/06/2004 (21),Costa Rica,LNZ Cherkasy,"1,73m",left,25/08/2022,CS Herediano,€600k
-,Timur Tuterov,Left Winger,11/06/2005 (20),Ukraine,Sunderland AFC U21,"1,83m",right,,,-
