#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
1,Aynsley Pears,Goalkeeper,23/04/1998 (27),England,Blackburn Rovers,"1,85m",right,16/10/2020,Middlesbrough FC,€1.40m
12,Balázs Tóth,Goalkeeper,04/09/1997 (27),Hungary,Blackburn Rovers,"1,89m",right,30/08/2024,Videoton FC Fehérvár,€700k
-,Joe Hilton,Goalkeeper,11/10/1999 (25),England,Bradford City,"1,95m",,01/07/2022,Blackburn Rovers U21,€150k
35,Jordan Eastham,Goalkeeper,08/09/2001 (23),England,Ashton United,"1,81m",right,01/07/2022,Blackburn Rovers U21,-
-,Nicholas Michalski,Goalkeeper,14/03/2007 (18),England Poland,Blackburn Rovers U21,-,,,,-
-,Dion Sanderson,Centre-Back,15/12/1999 (25),England,Derby County,"1,88m",right,10/01/2025,Birmingham City,€2.50m
17,Hayden Carter,Centre-Back,17/12/1999 (25),England,Blackburn Rovers,"1,88m",right,01/01/2020,Blackburn Rovers U23,€2.50m
5,Dominic Hyam,Centre-Back,20/12/1995 (29),Scotland England,Wrexham AFC,"1,88m",right,28/08/2022,Coventry City,€2.00m
16,Scott Wharton,Centre-Back,03/10/1997 (27),England,Blackburn Rovers,"1,82m",left,01/07/2016,Blackburn Rovers U23,€2.00m
-,Connor O'Riordan,Centre-Back,19/10/2003 (21),Ireland Scotland,Doncaster Rovers,"1,93m",right,24/01/2024,Crewe Alexandra,€500k
15,Danny Batth,Centre-Back,21/09/1990 (34),England India,Derby County,"1,91m",right,01/08/2024,Norwich City,€200k
-,Kyle McFadzean,Centre-Back,20/02/1987 (38),England,Chesterfield FC,"1,85m",right,31/01/2024,Coventry City,€50k
-,George Pratt,Centre-Back,17/09/2003 (21),England,Blackburn Rovers U21,-,,,,-
-,Matty Litherland,Centre-Back,31/10/2005 (19),England,Blackburn Rovers U21,"1,85m",right,,,-
-,Tom Atcheson,Centre-Back,22/09/2006 (18),Northern Ireland England,Blackburn Rovers U21,-,,,,-
3,Harry Pickering,Left-Back,29/12/1998 (26),England,Blackburn Rovers,"1,73m",left,01/02/2021,Crewe Alexandra,€3.00m
-,Owen Beck,Left-Back,09/08/2002 (22),Wales,Derby County,"1,77m",left,27/08/2024,Liverpool FC U21,€1.30m
4,Yuri Ribeiro,Left-Back,24/01/1997 (28),Portugal Switzerland,Blackburn Rovers,"1,78m",left,03/02/2025,SC Braga,€1.20m
2,Callum Brittain,Right-Back,12/03/1998 (27),England,Middlesbrough FC,"1,79m",right,21/07/2022,Barnsley FC,€2.50m
11,Joe Rankin-Costello,Right-Back,26/07/1999 (25),England,Charlton Athletic,"1,83m",right,01/01/2020,Blackburn Rovers U23,€1.60m
-,Leo Duru,Right-Back,12/01/2005 (20),United States England,San Diego FC,-,right,,,€75k
27,Lewis Travis,Defensive Midfield,16/10/1997 (27),England,Derby County,"1,83m",right,01/07/2018,Blackburn Rovers U23,€3.50m
-,Isaac Dunn,Midfielder,(-),England,Blackburn Rovers U18,-,,,,-
-,Frank Vare,Midfielder,12/09/2007 (17),England,Blackburn Rovers U18,-,,,,-
21,John Buckley,Central Midfield,13/10/1999 (25),England,Al-Kholood Club,"1,73m",right,01/07/2019,Blackburn Rovers U23,€2.20m
6,Sondre Tronstad,Central Midfield,26/08/1995 (29),Norway,Blackburn Rovers,"1,74m",right,01/07/2023,Vitesse Arnhem,€1.60m
-,Lewis Baker,Central Midfield,25/04/1995 (30),England Jamaica,Stoke City,"1,82m",right,29/08/2024,Stoke City,€1.20m
28,Adam Forshaw,Central Midfield,08/10/1991 (33),England,Blackburn Rovers,"1,75m",right,11/01/2025,Plymouth Argyle,€250k
-,Kristi Montgomery,Central Midfield,31/05/2004 (21),Scotland,Blackburn Rovers,"1,84m",right,01/07/2025,Blackburn Rovers U21,€100k
-,James Edmondson,Central Midfield,01/11/2005 (19),England,Macclesfield FC,-,,,,-
-,Harley O'Grady-Macken,Central Midfield,09/12/2004 (20),England Ireland,Oldham Athletic,-,,,,-
-,Sammie Szmodics,Attacking Midfield,24/09/1995 (29),Ireland Hungary,Ipswich Town,"1,68m",right,01/08/2022,Peterborough United,€10.00m
8,Todd Cantwell,Attacking Midfield,27/02/1998 (27),England,Blackburn Rovers,"1,80m",right,30/08/2024,Rangers FC,€3.50m
14,Andreas Weimann,Attacking Midfield,05/08/1991 (33),Austria,Derby County,"1,79m",right,01/08/2024,Bristol City,€600k
-,Brandon Powell,Attacking Midfield,17/10/2005 (19),England United States,Blackburn Rovers U21,"1,73m",left,,,-
-,Arnór Sigurdsson,Left Winger,15/05/1999 (26),Iceland,Malmö FF,"1,77m",right,01/01/2024,CSKA Moscow,€2.50m
-,Tom Bloxham,Left Winger,30/04/2005 (20),Ireland England,Grasshopper Club Zürich U21,-,right,,,€250k
10,Tyrhys Dolan,Right Winger,28/12/2001 (23),England,RCD Espanyol Barcelona,"1,70m",right,01/07/2020,Preston North End U19,€7.00m
-,Amario Cozier-Duberry,Right Winger,29/05/2005 (20),England Montserrat,Bolton Wanderers,"1,70m",left,30/08/2024,Brighton & Hove Albion,€2.00m
19,Ryan Hedges,Right Winger,08/07/1995 (29),Wales England,Blackburn Rovers,"1,85m",left,30/01/2022,Aberdeen FC,€900k
-,Dilan Markanday,Right Winger,20/08/2001 (23),England India,Chesterfield FC,"1,67m",left,18/01/2022,Tottenham Hotspur U23,€300k
47,Augustus Kargbo,Second Striker,24/08/1999 (25),Sierra Leone,Blackburn Rovers,"1,72m",right,31/01/2025,Cesena FC,€1.00m
9,Makhtar Gueye,Centre-Forward,04/12/1997 (27),Senegal,Blackburn Rovers,"1,95m",right,30/07/2024,RWD Molenbeek,€3.00m
-,Emmanuel Dennis,Centre-Forward,15/11/1997 (27),Nigeria,Without Club,"1,75m",right,03/02/2025,Nottingham Forest,€2.50m
23,Yuki Ohashi,Centre-Forward,27/07/1996 (28),Japan,Blackburn Rovers,"1,81m",right,31/07/2024,Sanfrecce Hiroshima,€1.80m
20,Harry Leonard,Centre-Forward,12/09/2003 (21),England,Peterborough United,"1,84m",,01/07/2023,Blackburn Rovers U21,€1.00m
-,Jack Vale,Centre-Forward,03/03/2001 (24),Wales,Northampton Town,"1,85m",right,01/07/2022,Blackburn Rovers U21,€500k
45,Cauley Woodrow,Centre-Forward,02/12/1994 (30),England,Wycombe Wanderers,"1,84m",right,03/02/2025,Luton Town,€500k
-,Igor Tyjon,Centre-Forward,20/03/2008 (17),England Poland,Blackburn Rovers,"1,81m",right,01/07/2025,Blackburn Rovers U21,-
