#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
1,Max O'Leary,Goalkeeper,10/10/1996 (28),Ireland England,Bristol City,"1,89m",right,01/07/2015,Bristol City U18,€2.80m
23,Stefan Bajic,Goalkeeper,23/12/2001 (23),France Serbia,RC Strasbourg Alsace,"1,88m",right,05/07/2022,Pau FC,€800k
32,Lewis Thomas,Goalkeeper,20/09/1997 (27),Wales,Bristol City,"1,85m",right,29/09/2023,Without Club,€150k
-,Josh Campbell-Slowey,Defender,11/11/2005 (19),England,Bristol City,-,,01/07/2025,Bristol City U21,-
15,Luke McNally,Centre-Back,20/09/1999 (25),Ireland,Bristol City,"1,93m",right,30/08/2024,Burnley FC,€3.50m
14,Zak Vyner,Centre-Back,14/05/1997 (28),Kenya England,Bristol City,"1,87m",right,01/07/2016,Bristol City U18,€2.80m
16,Rob Dickie,Centre-Back,03/03/1996 (29),England,Bristol City,"1,91m",right,01/07/2023,Queens Park Rangers,€2.80m
-,Rob Atkinson,Centre-Back,13/07/1998 (26),England,Bristol City,"1,93m",left,03/07/2021,Oxford United,€1.20m
-,Kal Naismith,Centre-Back,18/02/1992 (33),Scotland,Luton Town,"1,86m",right,01/07/2022,Luton Town,€250k
-,Jamie Knight-Lebel,Centre-Back,24/12/2004 (20),Canada,Swindon Town,"1,88m",right,01/07/2023,Bristol City U18,€200k
3,Cameron Pring,Left-Back,22/01/1998 (27),England,Bristol City,"1,85m",left,01/07/2020,Bristol City U23,€2.50m
24,Haydon Roberts,Left-Back,10/05/2002 (23),England,Bristol City,"1,84m",left,01/07/2023,Brighton & Hove Albion,€1.20m
-,Elijah Morrison,Left-Back,18/03/2006 (19),England,Bristol City,"1,75m",left,01/07/2025,Bristol City U21,€100k
-,Taylor Gardner-Hickman,Right-Back,30/12/2001 (23),England Ireland,Blackburn Rovers,"1,88m",right,15/01/2024,West Bromwich Albion,€2.50m
19,George Tanner,Right-Back,16/11/1999 (25),England,Bristol City,"1,81m",right,30/08/2021,Carlisle United,€2.50m
2,Ross McCrorie,Right-Back,18/03/1998 (27),Scotland,Bristol City,"1,87m",right,01/07/2023,Aberdeen FC,€1.80m
29,Marcus McGuane,Defensive Midfield,02/02/1999 (26),England Ireland,Huddersfield Town,"1,78m",right,23/08/2024,Oxford United,€800k
12,Jason Knight,Central Midfield,13/02/2001 (24),Ireland,Bristol City,"1,73m",right,11/07/2023,Derby County,€7.00m
6,Max Bird,Central Midfield,18/09/2000 (24),England,Bristol City,"1,83m",left,01/02/2024,Derby County,€3.50m
8,Joe Williams,Central Midfield,08/12/1996 (28),England,Bristol City,"1,85m",right,20/08/2020,Wigan Athletic,€1.20m
18,Ayman Benarous,Central Midfield,27/07/2003 (21),England Algeria,Plymouth Argyle,"1,73m",left,01/07/2021,Bristol City U18,€200k
17,Mark Sykes,Right Midfield,04/08/1997 (27),Ireland Northern Ireland,Bristol City,"1,82m",right,01/07/2022,Oxford United,€1.80m
11,Anis Mehmeti,Attacking Midfield,09/01/2001 (24),Albania England,Bristol City,"1,80m",right,31/01/2023,Wycombe Wanderers,€7.00m
10,Scott Twine,Attacking Midfield,14/07/1999 (25),England,Bristol City,"1,74m",right,16/08/2024,Burnley FC,€4.50m
-,George Earthy,Attacking Midfield,05/09/2004 (20),England,West Ham United,"1,80m",right,14/08/2024,West Ham United U21,€2.00m
-,Josh Stokes,Attacking Midfield,29/04/2004 (21),England,Bristol City,"1,80m",right,22/01/2024,Aldershot Town,€250k
-,Leo Pecover,Attacking Midfield,09/04/2008 (17),England,Bristol City U18,"1,76m",right,,,-
20,Sam Bell,Left Winger,23/05/2002 (23),England,Wycombe Wanderers,"1,78m",right,01/07/2020,Bristol City U18,€1.20m
7,Yu Hirakawa,Right Winger,03/01/2001 (24),Japan,Bristol City,"1,72m",right,01/07/2025,Machida Zelvia,€1.00m
30,Sinclair Armstrong,Centre-Forward,22/06/2003 (22),Ireland Nigeria,Bristol City,"1,82m",right,19/07/2024,Queens Park Rangers,€2.20m
-,Fally Mayulu,Centre-Forward,15/07/2002 (22),France DR Congo,Bristol City,"1,93m",right,01/07/2024,Rapid Vienna,€2.00m
27,Harry Cornick,Centre-Forward,09/04/1995 (30),England,Bristol City,"1,80m",right,31/01/2023,Luton Town,€700k
21,Nahki Wells,Centre-Forward,01/06/1990 (35),Bermuda,Luton Town,"1,70m",right,30/01/2020,Burnley FC,€300k
-,Billy Phillips,Centre-Forward,10/07/2006 (18),England,Bristol City U21,"1,75m",,,,-
