#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
1,Oliver Dovin,Goalkeeper,11/07/2002 (22),Sweden England,Coventry City,"1,88m",right,19/07/2024,Hammarby IF,€2.50m
40,Brad Collins,Goalkeeper,18/02/1997 (28),England,Burton Albion,"1,84m",right,17/07/2023,Barnsley FC,€1.00m
13,Ben Wilson,Goalkeeper,09/08/1992 (32),England,Coventry City,"1,86m",right,01/07/2019,Bradford City,€600k
44,Cian Tyler,Goalkeeper,22/03/2002 (23),Wales England,Retired,"1,88m",,01/07/2023,Coventry City U21,€50k
-,Daniel Rachel,Goalkeeper,15/07/2006 (18),England,Nuneaton Town,-,,,,-
-,Luke Bell,Goalkeeper,01/04/2004 (21),England,Coventry City U21,-,,,,-
15,Liam Kitching,Centre-Back,25/09/1999 (25),England Ireland,Coventry City,"1,86m",left,01/09/2023,Barnsley FC,€4.50m
4,Bobby Thomas,Centre-Back,30/01/2001 (24),England,Coventry City,"1,86m",right,22/07/2023,Burnley FC,€3.00m
22,Joel Latibeaudiere,Centre-Back,06/01/2000 (25),Jamaica England,Coventry City,"1,80m",right,18/07/2023,Swansea City,€3.00m
2,Luis Binks,Centre-Back,02/09/2001 (23),England Scotland,Bröndby IF,"1,90m",left,01/07/2024,Bologna FC 1909,€2.20m
-,Callum Perry,Centre-Back,05/10/2005 (19),England,Coventry City U21,-,,,,-
3,Jay Dasilva,Left-Back,22/04/1998 (27),Wales England,Coventry City,"1,70m",left,01/07/2023,Bristol City,€4.00m
21,Jake Bidwell,Left-Back,21/03/1993 (32),England,Coventry City,"1,83m",left,17/01/2022,Swansea City,€1.00m
-,Harvey Broad,Left-Back,15/09/2005 (19),England,Dagenham & Redbridge FC,-,,,,-
27,Milan van Ewijk,Right-Back,08/09/2000 (24),Netherlands Suriname,Coventry City,"1,75m",right,27/07/2023,SC Heerenveen,€10.00m
2,Jack Burroughs,Right-Back,21/03/2001 (24),Scotland England,Northampton Town,"1,88m",right,01/07/2022,Coventry City U21,€300k
-,Greg Sandiford,Right-Back,07/05/2005 (20),Grenada England,Coventry City U21,"1,78m",right,,,€50k
14,Ben Sheaf,Defensive Midfield,05/02/1998 (27),England,Wrexham AFC,"1,85m",right,01/07/2021,Arsenal FC U23,€7.00m
6,Matt Grimes,Defensive Midfield,15/07/1995 (29),England,Coventry City,"1,78m",left,31/01/2025,Swansea City,€5.00m
5,Jack Rudoni,Central Midfield,14/06/2001 (24),England,Coventry City,"1,85m",left,01/07/2024,Huddersfield Town,€12.00m
28,Josh Eccles,Central Midfield,06/04/2000 (25),England,Coventry City,"1,81m",right,01/07/2020,Coventry City U21,€7.00m
29,Victor Torp,Central Midfield,30/07/1999 (25),Denmark,Coventry City,"1,78m",right,11/01/2024,Sarpsborg 08 FF,€2.20m
8,Jamie Allen,Central Midfield,29/01/1995 (30),England,Coventry City,"1,80m",right,01/07/2019,Burton Albion,€600k
-,Kai Andrews,Central Midfield,06/08/2006 (18),Wales England,Coventry City,"1,85m",right,01/07/2025,Coventry City U21,€250k
25,Ryan Howley,Central Midfield,23/11/2003 (21),Wales England,Bristol Rovers,"1,87m",right,01/07/2023,Coventry City U21,€125k
-,Isaac Moore,Central Midfield,15/04/2006 (19),England,Forest Green Rovers ,"1,86m",right,,,-
-,Kasey Palmer,Attacking Midfield,09/11/1996 (28),Jamaica England,Hull City,"1,82m",right,01/07/2022,Bristol City,€1.00m
12,Jamie Paterson,Attacking Midfield,20/12/1991 (33),England Scotland,Plymouth Argyle,"1,75m",right,14/02/2025,Without Club,€300k
10,Ephron Mason-Clark,Left Winger,25/08/1999 (25),England,Coventry City,"1,78m",right,01/02/2024,Peterborough United,€6.50m
17,Raphael Borges Rodrigues,Left Winger,11/09/2003 (21),Australia Brazil,Wigan Athletic,"1,73m",right,01/07/2024,Macarthur FC,€400k
7,Tatsuhiro Sakamoto,Right Winger,22/10/1996 (28),Japan,Coventry City,"1,70m",left,10/07/2023,KV Oostende (-2024),€4.50m
11,Haji Wright,Centre-Forward,27/03/1998 (27),United States Liberia,Coventry City,"1,93m",right,04/08/2023,Antalyaspor,€8.00m
9,Ellis Simms,Centre-Forward,05/01/2001 (24),England,Coventry City,"1,91m",right,07/07/2023,Everton FC,€6.00m
23,Brandon Thomas-Asante,Centre-Forward,29/12/1998 (26),Ghana England,Coventry City,"1,82m",right,01/08/2024,West Bromwich Albion,€3.50m
37,Norman Bassette,Centre-Forward,09/11/2004 (20),Belgium,Stade Reims,"1,86m",left,21/08/2024,SM Caen,€2.20m
-,Fábio Tavares,Centre-Forward,22/01/2001 (24),Portugal England,Burton Albion,"1,78m",right,01/02/2021,Rochdale AFC,€200k
-,Aidan Dausch,Centre-Forward,01/06/2006 (19),United States England,Forest Green Rovers ,"1,85m",right,,,-
