#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
1,James Trafford,Goalkeeper,10/10/2002 (22),England,Manchester City,"1,92m",right,20/07/2023,Manchester City,€22.00m
20,Etienne Green,Goalkeeper,19/07/2000 (24),England France,FC Fredericia,"1,91m",right,07/08/2024,AS Saint-Étienne,€700k
32,Václav Hladký,Goalkeeper,14/11/1990 (34),Czech Republic,Burnley FC,"1,92m",right,19/07/2024,Ipswich Town,€300k
5,Maxime Estève,Centre-Back,26/05/2002 (23),France,Burnley FC,"1,93m",left,01/07/2024,Montpellier HSC,€20.00m
6,CJ Egan-Riley,Centre-Back,02/01/2003 (22),England Ireland,Olympique Marseille,"1,83m",right,01/07/2022,Manchester City U21,€16.00m
-,Dara O'Shea,Centre-Back,04/03/1999 (26),Ireland,Ipswich Town,"1,89m",right,01/07/2023,West Bromwich Albion,€14.00m
12,Bashir Humphreys,Centre-Back,15/03/2003 (22),England Uganda,Burnley FC,"1,86m",left,01/07/2025,Chelsea FC,€7.00m
36,Jordan Beyer,Centre-Back,19/05/2000 (25),Germany,Burnley FC,"1,87m",right,01/07/2023,Borussia Mönchengladbach,€6.00m
4,Joe Worrall,Centre-Back,10/01/1997 (28),England,Burnley FC,"1,90m",right,22/08/2024,Nottingham Forest,€5.00m
-,Hjalmar Ekdal,Centre-Back,21/10/1998 (26),Sweden,Burnley FC,"1,87m",right,21/01/2023,Djurgårdens IF,€4.50m
-,Hannes Delcroix,Centre-Back,28/02/1999 (26),Haiti Belgium,Burnley FC,"1,83m",left,22/08/2023,RSC Anderlecht,€3.50m
-,Luke McNally,Centre-Back,20/09/1999 (25),Ireland,Bristol City,"1,93m",right,01/07/2022,Oxford United,€3.50m
-,John Egan,Centre-Back,20/10/1992 (32),Ireland,Hull City,"1,85m",right,10/09/2024,Without Club,€1.30m
23,Lucas Pires,Left-Back,24/03/2001 (24),Brazil,Burnley FC,"1,82m",left,16/07/2024,Santos FC,€5.00m
-,Owen Dodgson,Left-Back,19/03/2003 (22),England,Stockport County,"1,78m",left,01/07/2023,Burnley FC U21,€300k
-,Vitinho,Right-Back,23/07/1999 (25),Brazil,Botafogo de Futebol e Regatas,"1,74m",right,28/07/2022,Cercle Brugge ,€6.00m
14,Connor Roberts,Right-Back,23/09/1995 (29),Wales,Burnley FC,"1,75m",right,31/08/2021,Swansea City,€4.50m
2,Oliver Sonne,Right-Back,10/11/2000 (24),Peru Denmark,Burnley FC,"1,84m",right,01/01/2025,Silkeborg IF,€2.70m
3,Shurandy Sambo,Right-Back,19/08/2001 (23),Curacao Netherlands,Sparta Rotterdam,"1,74m",right,01/07/2024,PSV Eindhoven,€2.00m
8,Josh Brownhill,Central Midfield,19/12/1995 (29),England,Al-Shabab FC,"1,79m",right,30/01/2020,Bristol City,€14.00m
24,Josh Cullen,Central Midfield,07/04/1996 (29),Ireland England,Burnley FC,"1,75m",right,12/07/2022,RSC Anderlecht,€6.50m
-,Han-Noah Massengo,Central Midfield,07/07/2001 (23),France Congo,FC Augsburg,"1,78m",right,31/08/2023,Bristol City,€5.00m
29,Josh Laurent,Central Midfield,06/05/1995 (30),England,Burnley FC,"1,88m",right,30/08/2024,Stoke City,€1.80m
26,Jonjo Shelvey,Central Midfield,27/02/1992 (33),England Ireland,Arabian Falcons FC,"1,84m",right,20/01/2025,Eyüpspor,€800k
-,Will Hugill,Central Midfield,06/11/2003 (21),England,FC Halifax Town,"1,83m",,,,-
-,Joe Bauress,Central Midfield,01/03/2006 (19),England,Accrington Stanley,-,,,,-
-,Charlie Veevers,Central Midfield,13/02/2005 (20),England,Burnley FC U21,"1,73m",right,,,-
28,Hannibal,Attacking Midfield,21/01/2003 (22),Tunisia France,Burnley FC,"1,83m",right,28/08/2024,Manchester United,€12.00m
21,Aaron Ramsey,Attacking Midfield,21/01/2003 (22),England,Leicester City,"1,81m",right,22/08/2023,Aston Villa U21,€10.00m
31,Mike Tresor,Attacking Midfield,28/05/1999 (26),Belgium,Burnley FC,"1,72m",right,01/07/2024,KRC Genk,€5.00m
-,Scott Twine,Attacking Midfield,14/07/1999 (25),England,Bristol City,"1,74m",right,01/07/2022,Milton Keynes Dons,€4.50m
-,Tommy McDermott,Attacking Midfield,01/06/2005 (20),England,Shrewsbury Town,"1,78m",,,,€100k
-,Wilson Odobert,Left Winger,28/11/2004 (20),France Martinique,Tottenham Hotspur,"1,82m",right,12/08/2023,ESTAC Troyes,€20.00m
11,Jaidon Anthony,Left Winger,01/12/1999 (25),England Jamaica,Burnley FC,"1,83m",right,01/07/2025,AFC Bournemouth,€9.00m
-,Anass Zaroury,Left Winger,07/11/2000 (24),Morocco Belgium,Panathinaikos FC,"1,76m",right,30/08/2022,Royal Charleroi SC,€8.00m
-,Jeremy Sarmiento,Left Winger,16/06/2002 (23),Ecuador England,US Cremonese,"1,78m",right,30/08/2024,Brighton & Hove Albion,€7.00m
34,Jaydon Banel,Left Winger,19/10/2004 (20),Netherlands Suriname,Burnley FC,"1,73m",right,03/02/2025,Ajax Amsterdam U21,€1.00m
