#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
-,Mark Travers,Goalkeeper,18/05/1999 (26),Ireland,Everton FC,"1,91m",right,29/01/2025,AFC Bournemouth,€4.00m
1,Seny Dieng,Goalkeeper,23/11/1994 (30),Senegal Switzerland,Middlesbrough FC,"1,93m",right,08/07/2023,Queens Park Rangers,€1.40m
23,Tom Glover,Goalkeeper,24/12/1997 (27),Australia England,Without Club,"1,96m",right,07/07/2023,Melbourne City FC,€800k
31,Sol Brynn,Goalkeeper,30/10/2000 (24),England,Middlesbrough FC,"1,84m",right,01/01/2022,FC Middlesbrough U23,€300k
-,Shea Connor,Goalkeeper,30/10/2005 (19),England,Middlesbrough FC U21,-,,,,-
3,Rav van den Berg,Centre-Back,07/07/2004 (20),Netherlands,1.FC Köln,"1,91m",right,06/07/2023,PEC Zwolle,€4.50m
6,Dael Fry,Centre-Back,30/08/1997 (27),England,Middlesbrough FC,"1,90m",right,01/07/2015,Middlesbrough FC U21,€4.00m
-,Matt Clarke,Centre-Back,22/09/1996 (28),England,Derby County,"1,85m",left,25/08/2022,Brighton & Hove Albion,€2.30m
26,Darragh Lenihan,Centre-Back,16/03/1994 (31),Ireland,Middlesbrough FC,"1,87m",right,01/07/2022,Blackburn Rovers,€1.20m
25,George Edmundson,Centre-Back,15/08/1997 (27),England,Middlesbrough FC,"1,90m",right,25/01/2025,Ipswich Town,€800k
-,George McCormick,Centre-Back,27/01/2005 (20),England,Middlesbrough FC U21,-,,,,-
-,James Wilson,Centre-Back,01/02/2007 (18),England,Middlesbrough FC U21,-,,,,-
-,Harley Hunt,Centre-Back,03/08/2007 (17),England,Middlesbrough FC U21,"1,93m",right,,,-
29,Samuel Iling-Junior,Left-Back,04/10/2003 (21),England DR Congo,West Bromwich Albion,"1,82m",left,03/02/2025,Aston Villa,€10.00m
28,Ryan Giles,Left-Back,26/01/2000 (25),England,Hull City,"1,83m",left,23/01/2025,Hull City,€4.50m
30,Neto Borges,Left-Back,13/09/1996 (28),Brazil,Bristol City,"1,85m",left,27/08/2024,Clermont Foot 63,€3.00m
-,Lukas Engel,Left-Back,14/12/1998 (26),Denmark,FC Cincinnati,"1,78m",left,15/08/2023,Silkeborg IF,€2.50m
24,Alex Bangura,Left-Back,13/07/1999 (25),Sierra Leone Netherlands,Middlesbrough FC,"1,83m",left,01/09/2023,SC Cambuur Leeuwarden,€700k
15,Anfernee Dijksteel,Right-Back,27/10/1996 (28),Suriname Netherlands,Kocaelispor,"1,83m",right,07/08/2019,Charlton Athletic,€1.20m
12,Luke Ayling,Right-Back,25/08/1991 (33),England,Middlesbrough FC,"1,83m",right,01/07/2024,Leeds United,€450k
-,Nathan Simpson,Right-Back,24/02/2004 (21),England,Chester-le-Street Town FC,"1,79m",right,,,-
4,Dan Barlaser,Defensive Midfield,18/01/1997 (28),England Türkiye,Hibernian FC,"1,84m",right,29/01/2023,Rotherham United,€2.00m
-,Luke Woolston,Defensive Midfield,30/11/2004 (20),England,South Shields FC,-,,,,-
-,Anton Palmer,Midfielder,27/11/2008 (16),England Jamaica,Brighton & Hove Albion U18,-,,,,-
-,Bailey Palmer,Midfielder,27/11/2008 (16),England Jamaica,Brighton & Hove Albion U18,-,,,,-
7,Hayden Hackney,Central Midfield,26/06/2002 (23),England Scotland,Middlesbrough FC,"1,78m",right,01/07/2022,Middlesbrough FC U21,€12.00m
18,Aidan Morris,Central Midfield,16/11/2001 (23),United States Canada,Middlesbrough FC,"1,75m",right,01/07/2024,Columbus Crew,€4.00m
8,Riley McGree,Central Midfield,02/11/1998 (26),Australia,Middlesbrough FC,"1,78m",left,14/01/2022,Charlotte FC,€3.00m
16,Jonathan Howson,Central Midfield,21/05/1988 (37),England,Leeds United U21,"1,80m",right,07/07/2017,Norwich City,€100k
-,Law McCabe,Central Midfield,16/01/2006 (19),England,Plymouth Argyle,"1,73m",,,,-
-,Isaac Greenup,Central Midfield,(-),England,Middlesbrough FC U18,-,,,,-
20,Finn Azaz,Attacking Midfield,07/09/2000 (24),Ireland England,Southampton FC,"1,85m",right,05/01/2024,Aston Villa U21,€16.00m
-,Alex Gilbert,Attacking Midfield,28/12/2001 (23),Ireland England,Middlesbrough FC,"1,83m",right,04/07/2023,Brentford FC B,€500k
-,Finlay Cartwright,Attacking Midfield,28/02/2007 (18),England,Middlesbrough FC U21,-,,,,-
-,Micah Hamilton,Left Winger,13/11/2003 (21),England Jamaica,Middlesbrough FC,"1,77m",right,09/08/2024,Manchester City U21,€3.20m
10,Delano Burgzorg,Left Winger,07/11/1998 (26),Suriname Netherlands,Middlesbrough FC,"1,86m",right,01/07/2024,1.FSV Mainz 05,€3.00m
-,Charlie Lennon,Left Winger,09/04/2006 (19),England,Darlington FC,-,,,,-
50,Ben Gannon-Doak,Right Winger,11/11/2005 (19),Scotland,AFC Bournemouth,"1,73m",right,30/08/2024,Liverpool FC,€14.00m
11,Morgan Whittaker,Right Winger,07/01/2001 (24),England,Middlesbrough FC,"1,83m",left,24/01/2025,Plymouth Argyle,€10.00m
-,Isaiah Jones,Right Winger,26/06/1999 (26),Guyana England,Luton Town,"1,76m",right,01/07/2021,FC Middlesbrough U23,€3.50m
-,Josh Dede,Right Winger,04/01/2006 (19),Scotland,Middlesbrough FC U21,-,,,,-
-,Emmanuel Latte Lath,Centre-Forward,01/01/1999 (26),Cote d'Ivoire Italy,Atlanta United FC,"1,76m",right,15/08/2023,Atalanta BC,€18.00m
22,Tommy Conway,Centre-Forward,06/08/2002 (22),Scotland England,Middlesbrough FC,"1,85m",right,16/08/2024,Bristol City,€7.50m
9,Kelechi Iheanacho,Centre-Forward,03/10/1996 (28),Nigeria,Celtic FC,"1,85m",left,03/02/2025,Sevilla FC,€4.50m
