#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
1,Lukas Jensen,Goalkeeper,18/03/1999 (26),Denmark England,Millwall FC,"1,98m",right,11/07/2024,Lincoln City,€900k
41,George Evans,Goalkeeper,16/05/2005 (20),England,Hartlepool United,-,,01/07/2025,Millwall FC U21,€350k
13,Liam Roberts,Goalkeeper,21/11/1994 (30),England,Mansfield Town,"1,95m",left,22/07/2024,Middlesbrough FC,€200k
-,Connal Trueman,Goalkeeper,26/03/1996 (29),England,Milton Keynes Dons,"1,86m",right,04/08/2022,Birmingham City,€125k
-,Jakub Przewozny,Goalkeeper,19/01/2007 (18),Poland,Millwall FC U21,-,,,,-
6,Japhet Tanganga,Centre-Back,31/03/1999 (26),England DR Congo,Sheffield United,"1,84m",right,10/07/2024,Tottenham Hotspur,€2.50m
5,Jake Cooper,Centre-Back,03/02/1995 (30),England,Millwall FC,"1,99m",left,28/07/2017,Reading FC,€2.00m
45,Wes Harding,Centre-Back,20/10/1996 (28),Jamaica England,Millwall FC,"1,81m",right,21/07/2023,Rotherham United,€1.00m
3,Murray Wallace,Centre-Back,10/01/1993 (32),Scotland,Huddersfield Town,"1,88m",left,01/07/2018,Scunthorpe United,€600k
52,Tristan Crama,Centre-Back,08/11/2001 (23),France,Millwall FC,"1,92m",right,17/01/2025,Brentford FC B,€500k
4,Shaun Hutchinson,Centre-Back,23/11/1990 (34),England,Without Club,"1,88m",right,01/07/2016,Fulham FC,€150k
15,Joe Bryan,Left-Back,17/09/1993 (31),England,Millwall FC,"1,70m",left,01/07/2023,Fulham FC,€800k
-,Calum Scanlon,Left-Back,14/02/2005 (20),England,Liverpool FC U21,-,,29/08/2024,Liverpool FC U21,€700k
-,Adam Mayor,Left-Back,10/04/2005 (20),England,Cambridge United,"1,70m",left,31/01/2024,Morecambe FC,€350k
-,Zak Sturge,Left-Back,15/06/2004 (21),England Guyana,Millwall FC,"1,88m",left,14/07/2025,Chelsea FC U21,€200k
-,Ben Drake,Left-Back,23/07/2005 (19),England,Millwall FC U21,-,left,,,-
2,Danny McNamara,Right-Back,27/12/1998 (26),Ireland England,Millwall FC,"1,80m",right,01/07/2019,Millwall FC U21,€1.80m
18,Ryan Leonard,Right-Back,24/05/1992 (33),England,Millwall FC,"1,85m",right,02/01/2019,Sheffield United,€250k
-,Kyle Smith,Right-Back,07/06/2004 (21),England,Tonbridge Angels,"1,75m",right,,,-
-,Ryan Wintle,Defensive Midfield,13/06/1997 (28),England,Cardiff City,"1,80m",right,28/08/2024,Cardiff City,€3.00m
8,Billy Mitchell,Defensive Midfield,07/04/2001 (24),England,Millwall FC,"1,78m",right,01/01/2020,Millwall FC U18,€3.00m
24,Casper De Norre,Defensive Midfield,07/02/1997 (28),Belgium,Millwall FC,"1,75m",right,21/07/2023,Oud-Heverlee Leuven,€2.50m
25,Luke Cundle,Central Midfield,26/04/2002 (23),England,Millwall FC,"1,71m",right,31/01/2025,Wolverhampton Wanderers,€3.20m
23,George Saville,Central Midfield,01/06/1993 (32),Northern Ireland England,Luton Town,"1,76m",left,02/07/2021,Middlesbrough FC,€800k
16,Daniel Kelly,Central Midfield,03/10/2005 (19),Scotland,Millwall FC,"1,80m",right,23/08/2024,Celtic FC B,€700k
44,Alfie Massey,Central Midfield,18/01/2006 (19),England,Wealdstone FC,"1,83m",right,,,€50k
11,Femi Azeez,Right Midfield,05/06/2001 (24),England Spain,Millwall FC,"1,81m",left,21/08/2024,Reading FC,€1.20m
39,George Honeyman,Attacking Midfield,08/09/1994 (30),England,Blackpool FC,"1,73m",right,01/07/2022,Hull City,€700k
22,Aidomo Emakhu,Left Winger,26/10/2003 (21),Ireland Nigeria,Millwall FC,"1,80m",right,01/01/2023,Shamrock Rovers,€900k
57,Zak Lovelace,Left Winger,23/01/2006 (19),England Jamaica,Millwall FC,"1,82m",right,03/02/2025,Rangers FC B,€500k
-,Romain Esse,Right Winger,13/05/2005 (20),England Cote d'Ivoire,Crystal Palace,"1,78m",left,01/07/2023,Millwall FC U18,€12.00m
56,Camiel Neghli,Right Winger,06/11/2001 (23),Algeria Netherlands,Millwall FC,"1,79m",left,31/01/2025,Sparta Rotterdam,€2.00m
19,Duncan Watmore,Right Winger,08/03/1994 (31),England,Without Club,"1,75m",right,31/01/2023,Middlesbrough FC,€600k
31,Ra'ees Bangura-Williams,Right Winger,02/07/2004 (20),England Sierra Leone,Millwall FC,-,left,01/01/2025,Millwall FC U21,€400k
55,Benicio Baker,Right Winger,09/01/2004 (21),England Ghana,Millwall FC,-,left,03/02/2025,Brighton & Hove Albion U21,€300k
-,Sheldon Kendall,Right Winger,31/12/2007 (17),England,Millwall FC U21,-,,,,-
26,Mihailo Ivanovic,Centre-Forward,29/11/2004 (20),Serbia Croatia,Millwall FC,"1,91m",right,30/08/2024,FK Vojvodina Novi Sad,€4.00m
-,Kevin Nisbet,Centre-Forward,08/03/1997 (28),Scotland,Aberdeen FC,"1,80m",right,01/07/2023,Hibernian FC,€2.50m
9,Aaron Connolly,Centre-Forward,28/01/2000 (25),Ireland,Leyton Orient,"1,74m",right,16/01/2025,Sunderland AFC,€2.20m
21,Josh Coburn,Centre-Forward,06/12/2002 (22),England,Millwall FC,"1,93m",right,01/07/2025,Middlesbrough FC,€1.50m
17,Macaulay Langstaff,Centre-Forward,03/02/1997 (28),England,Millwall FC,"1,78m",right,08/07/2024,Notts County,€700k
-,Tom Bradshaw,Centre-Forward,27/07/1992 (32),Wales England,Oxford United,"1,78m",right,03/01/2019,Barnsley FC,€350k
-,Tom Leahy,Centre-Forward,31/03/2004 (21),England Ireland,Tonbridge Angels,"1,81m",both,,,-
-,Frankie Baker,Striker,29/11/2005 (19),England,Millwall FC U21,-,,,,-
54,Ajay Matthews,Centre-Forward,11/06/2006 (19),England,Millwall FC,-,,30/01/2025,Middlesbrough FC U21,-
