#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
13,Nicolas Schmid,Goalkeeper,22/02/1997 (28),Austria,Portsmouth FC,"1,95m",both,21/08/2024,FC Blau-Weiss Linz,€1.00m
-,Will Norris,Goalkeeper,12/08/1993 (31),England,Wycombe Wanderers,"1,95m",left,01/07/2023,Burnley FC,€350k
36,Ben Killip,Goalkeeper,24/11/1995 (29),England,Portsmouth FC,"1,88m",right,03/02/2025,Barnsley FC,€200k
31,Jordan Archer,Goalkeeper,12/04/1993 (32),Scotland England,Portsmouth FC,"1,90m",right,01/07/2024,Queens Park Rangers,€150k
33,Toby Steward,Goalkeeper,12/02/2005 (20),England,St. Johnstone FC,"1,93m",right,01/07/2023,Portsmouth FC U18,€100k
44,Hayden Matthews,Centre-Back,19/06/2004 (21),Australia,Portsmouth FC,"1,95m",right,27/01/2025,Sydney FC,€1.30m
-,Rob Atkinson,Centre-Back,13/07/1998 (26),England,Bristol City,"1,93m",left,03/01/2025,Bristol City,€1.20m
5,Regan Poole,Centre-Back,18/06/1998 (27),Wales,Portsmouth FC,"1,80m",right,10/07/2023,Lincoln City,€800k
6,Conor Shaughnessy,Centre-Back,30/06/1996 (29),Ireland,Portsmouth FC,"1,91m",right,01/07/2023,Burton Albion,€800k
-,Tom McIntyre,Centre-Back,06/11/1998 (26),Scotland England,Bradford City,"1,85m",left,30/01/2024,Reading FC,€600k
34,Ibane Bowat,Centre-Back,15/09/2002 (22),Scotland France,Portsmouth FC,"1,90m",left,30/08/2024,Fulham FC U21,€600k
4,Ryley Towler,Centre-Back,06/05/2002 (23),England,Lincoln City,"1,87m",left,06/01/2023,Bristol City,€500k
37,Alexander Milosevic,Centre-Back,30/01/1992 (33),Sweden Serbia,Without Club,"1,93m",right,07/03/2025,Without Club,€200k
19,Jacob Farrell,Left-Back,19/11/2002 (22),Australia,Portsmouth FC,"1,80m",left,26/07/2024,Central Coast Mariners,€500k
3,Connor Ogilvie,Left-Back,14/02/1996 (29),England,Portsmouth FC,"1,84m",left,02/08/2021,Gillingham FC,€400k
18,Cohen Bramall,Left-Back,02/04/1996 (29),England,Luton Town,"1,78m",left,31/01/2025,Rotherham United,€400k
24,Terry Devlin,Right-Back,06/11/2003 (21),Northern Ireland,Portsmouth FC,"1,80m",right,01/07/2023,Glentoran FC,€1.00m
22,Zak Swanson,Right-Back,28/09/2000 (24),England United States,Portsmouth FC,"1,89m",right,04/07/2022,Arsenal FC U21,€800k
2,Jordan Williams,Right-Back,22/10/1999 (25),England,Portsmouth FC,"1,79m",right,01/07/2024,Barnsley FC,€600k
-,Michael Ani,Right-Back,(-),England,Portsmouth FC U18,-,,,,-
-,Freddie Potts,Defensive Midfield,12/09/2003 (21),England,West Ham United,"1,83m",right,26/08/2024,West Ham United U21,€1.40m
-,Isaac Hayden,Defensive Midfield,22/03/1995 (30),Jamaica England,Queens Park Rangers,"1,87m",right,10/01/2025,Newcastle United,€700k
25,Abdoulaye Kamara,Defensive Midfield,06/11/2004 (20),France Guinea,1.FC Saarbrücken,"1,85m",right,20/08/2024,Borussia Dortmund II,€700k
21,Andre Dozzell,Central Midfield,02/05/1999 (26),England,Portsmouth FC,"1,78m",left,05/08/2024,Queens Park Rangers,€1.20m
