#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
33,Egil Selvik,Goalkeeper,30/07/1997 (27),Norway,Watford FC,"1,93m",left,31/01/2025,Udinese Calcio,€1.50m
1,Daniel Bachmann,Goalkeeper,09/07/1994 (30),Austria,Deportivo de La Coruña,"1,91m",right,01/07/2017,Stoke City U23,€1.40m
-,Jonathan Bond,Goalkeeper,19/05/1993 (32),England United States,Houston Dynamo FC,"1,93m",right,03/07/2024,Without Club,€500k
-,Myles Roberts,Goalkeeper,09/12/2001 (23),England,Walsall FC,"1,93m",,01/07/2024,Watford FC U21,€250k
41,Alfie Marriott,Goalkeeper,26/03/2004 (21),England,Watford FC,-,,01/07/2024,Watford FC U21,-
5,Ryan Porteous,Centre-Back,25/03/1999 (26),Scotland,Los Angeles FC,"1,88m",right,27/01/2023,Hibernian FC,€3.00m
3,Francisco Sierralta,Centre-Back,06/05/1997 (28),Chile Spain,AJ Auxerre,"1,92m",right,09/09/2020,Udinese Calcio,€1.50m
6,Mattie Pollock,Centre-Back,28/09/2001 (23),England,Watford FC,"1,90m",right,01/07/2021,Grimsby Town,€1.50m
25,James Abankwah,Centre-Back,16/01/2004 (21),Ireland Ghana,Watford FC,"1,88m",right,16/01/2025,Udinese Calcio,€1.00m
-,Antonio Tikvic,Centre-Back,21/04/2004 (21),Croatia Germany,Preußen Münster,"1,98m",left,01/08/2024,Udinese Calcio,€700k
4,Kévin Keben,Centre-Back,26/01/2004 (21),Cameroon,Watford FC,"1,87m",right,29/08/2024,FC Toulouse,€700k
21,Angelo Ogbonna,Centre-Back,23/05/1988 (37),Italy Nigeria,Without Club,"1,91m",left,27/08/2024,West Ham United,€200k
-,Travis Akomeah,Centre-Back,06/01/2006 (19),England Poland,Gillingham FC,"1,94m",right,,,-
26,Caleb Wiley,Left-Back,22/12/2004 (20),United States,Watford FC,"1,80m",left,03/02/2025,Chelsea FC,€8.00m
37,Yasser Larouci,Left-Back,01/01/2001 (24),Algeria France,AE Kifisias,"1,76m",left,01/08/2024,ESTAC Troyes,€3.50m
22,James Morris,Left-Back,23/11/2001 (23),England,Watford FC,"1,83m",left,01/01/2023,Watford FC U21,€500k
-,Festy Ebosele,Right-Back,02/08/2002 (22),Ireland Nigeria,Basaksehir FK,"1,80m",right,30/08/2024,Udinese Calcio,€4.60m
45,Ryan Andrews,Right-Back,26/08/2004 (20),England,BSC Young Boys,"1,81m",right,01/07/2023,Watford FC U21,€2.50m
2,Jeremy Ngakia,Right-Back,07/09/2000 (24),DR Congo England,Watford FC,"1,84m",right,14/08/2020,West Ham United U23,€1.50m
24,Tom Dele-Bashiru,Defensive Midfield,17/09/1999 (25),Nigeria England,Genclerbirligi Ankara,"1,78m",right,24/07/2019,Manchester City U23,€1.50m
-,Leo Ramirez-Espain,Defensive Midfield,02/10/2006 (18),England Spain,Yeovil Town,-,,,,-
-,Jai-Dea Moulton,Defensive Midfield,29/01/2008 (17),England,Watford FC U18,-,,,,-
10,Imrân Louza,Central Midfield,01/05/1999 (26),Morocco France,Watford FC,"1,78m",left,01/07/2021,FC Nantes,€6.00m
39,Edo Kayembe,Central Midfield,03/06/1998 (27),DR Congo,Watford FC,"1,83m",left,07/01/2022,KAS Eupen,€4.00m
14,Pierre Dwomoh,Central Midfield,21/06/2004 (21),Belgium Ghana,Watford FC,"1,88m",right,26/08/2024,Royal Antwerp FC,€2.20m
17,Moussa Sissoko,Central Midfield,16/08/1989 (35),France Mali,Watford FC,"1,87m",right,10/07/2024,FC Nantes,€500k
-,Amar Sanghrajka,Central Midfield,23/10/2006 (18),England India,Watford FC U21,-,,,,-
8,Giorgi Chakvetadze,Attacking Midfield,29/08/1999 (25),Georgia,Watford FC,"1,83m",right,01/02/2024,KAA Gent,€4.50m
34,Kwadwo Baah,Left Winger,27/01/2003 (22),Germany England,Watford FC,"1,82m",right,01/07/2021,Rochdale AFC,€2.50m
11,Rocco Vata,Left Winger,18/04/2005 (20),Ireland Albania,Watford FC,"1,84m",right,05/07/2024,Celtic FC B,€1.80m
-,Ken Sema,Left Winger,30/09/1993 (31),Sweden DR Congo,Pafos FC,"1,80m",left,05/07/2018,Östersunds FK,€1.30m
-,Amin Nabizada,Left Winger,21/06/2007 (18),England Afghanistan,Watford FC U21,"1,73m",right,,,€75k
7,Tom Ince,Right Winger,30/01/1992 (33),England Barbados,Watford FC,"1,78m",left,01/07/2023,Reading FC,€500k
-,Zavier Massiah-Edwards,Right Winger,16/01/2007 (18),England,Watford FC U21,-,,,,€100k
-,Michael Adu-Poku,Right Winger,22/09/2005 (19),England Ghana,Barrow AFC,-,right,,,-
-,Daniel Jebbison,Centre-Forward,11/07/2003 (21),Canada England,Preston North End,"1,90m",right,30/08/2024,AFC Bournemouth,€4.00m
19,Vakoun Bayo,Centre-Forward,10/01/1997 (28),Cote d'Ivoire,Udinese Calcio,"1,84m",right,30/08/2024,Udinese Calcio,€4.00m
-,Mileta Rajović,Centre-Forward,17/07/1999 (25),Denmark Montenegro,Legia Warszawa,"1,96m",both,25/08/2023,Kalmar FF,€2.00m
20,Mamadou Doumbia,Centre-Forward,18/02/2006 (19),Mali,Watford FC,"1,92m",left,01/07/2024,Black Stars FC,€500k
