#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
1,Illan Meslier,Goalkeeper,02/03/2000 (25),France,Leeds United,"1,97m",left,27/07/2020,FC Lorient,€16.00m
26,Karl Darlow,Goalkeeper,08/10/1990 (34),Wales England,Leeds United,"1,90m",right,29/07/2023,Newcastle United,€200k
21,Alex Cairns,Goalkeeper,04/01/1993 (32),England,Leeds United,"1,83m",right,08/07/2024,Salford City,€100k
5,Pascal Struijk,Centre-Back,11/08/1999 (25),Netherlands Belgium,Leeds United,"1,90m",left,01/01/2020,Leeds United U23,€18.00m
6,Joe Rodon,Centre-Back,22/10/1997 (27),Wales,Leeds United,"1,93m",right,02/07/2024,Tottenham Hotspur,€10.00m
39,Maximilian Wöber,Centre-Back,04/02/1998 (27),Austria,SV Werder Bremen,"1,88m",left,03/01/2023,Red Bull Salzburg,€8.00m
-,James Debayo,Centre-Back,11/07/2005 (19),England Nigeria,Leeds United U21,-,,,,-
3,Junior Firpo,Left-Back,22/08/1996 (28),Dominican Republic Spain,Real Betis Balompié,"1,84m",left,06/07/2021,FC Barcelona,€8.00m
33,Isaac Schmidt,Left-Back,07/12/1999 (25),Switzerland Nigeria,SV Werder Bremen,"1,72m",right,30/08/2024,FC St. Gallen 1879,€2.20m
25,Sam Byram,Left-Back,16/09/1993 (31),England,Leeds United,"1,83m",right,05/08/2023,Norwich City,€800k
2,Jayden Bogle,Right-Back,27/07/2000 (24),England,Leeds United,"1,78m",right,20/07/2024,Sheffield United,€9.00m
4,Ethan Ampadu,Defensive Midfield,14/09/2000 (24),Wales England,Leeds United,"1,82m",right,19/07/2023,Chelsea FC,€20.00m
44,Ilia Gruev,Defensive Midfield,06/05/2000 (25),Bulgaria Germany,Leeds United,"1,85m",left,31/08/2023,SV Werder Bremen,€5.00m
23,Josuha Guilavogui,Defensive Midfield,19/09/1990 (34),France Guinea,Without Club,"1,88m",right,23/10/2024,Without Club,€300k
-,Charlie Crew,Defensive Midfield,15/06/2006 (19),Wales,Doncaster Rovers,"1,85m",right,01/07/2024,Leeds United U21,€150k
22,Ao Tanaka,Central Midfield,10/09/1998 (26),Japan,Leeds United,"1,80m",right,30/08/2024,Fortuna Düsseldorf,€10.00m
-,Darko Gyabi,Central Midfield,18/02/2004 (21),England Ghana,Hull City,"1,96m",right,04/07/2022,Manchester City U21,€1.80m
8,Joe Rothwell,Central Midfield,11/01/1995 (30),England Scotland,Rangers FC,"1,85m",right,11/07/2024,AFC Bournemouth,€1.80m
11,Brenden Aaronson,Attacking Midfield,22/10/2000 (24),United States,Leeds United,"1,77m",right,01/07/2022,Red Bull Salzburg,€15.00m
-,Sam Chambers,Attacking Midfield,18/08/2007 (17),Scotland England,Leeds United,"1,76m",right,01/07/2025,Leeds United U21,€200k
14,Manor Solomon,Left Winger,24/07/1999 (25),Israel Portugal,Villarreal CF,"1,70m",right,27/08/2024,Tottenham Hotspur,€14.00m
17,Largie Ramazani,Left Winger,27/02/2001 (24),Belgium Burundi,Valencia CF,"1,68m",right,22/08/2024,UD Almería,€7.50m
29,Wilfried Gnonto,Right Winger,05/11/2003 (21),Italy Cote d'Ivoire,Leeds United,"1,70m",right,01/09/2022,FC Zürich,€22.00m
7,Daniel James,Right Winger,10/11/1997 (27),Wales England,Leeds United,"1,71m",right,31/08/2021,Manchester United,€18.00m
-,Georginio Rutter,Centre-Forward,20/04/2002 (23),France Martinique,Brighton & Hove Albion,"1,82m",left,14/01/2023,TSG 1899 Hoffenheim,€32.00m
10,Joël Piroe,Centre-Forward,02/08/1999 (25),Netherlands Suriname,Leeds United,"1,85m",left,24/08/2023,Swansea City,€18.00m
19,Mateo Joseph,Centre-Forward,19/10/2003 (21),Spain England,RCD Mallorca,"1,85m",right,01/07/2023,Leeds United U21,€3.50m
-,Joe Gelhardt,Centre-Forward,04/05/2002 (23),England,Hull City,"1,79m",left,10/08/2020,Wigan Athletic,€3.00m
9,Patrick Bamford,Centre-Forward,05/09/1993 (31),England Ireland,Sheffield United,"1,85m",left,31/07/2018,Middlesbrough FC,€2.00m
-,Harry Gray,Centre-Forward,08/10/2008 (16),England,Leeds United U21,"1,81m",,,,€500k
