#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
24,Thomas Kaminski,Goalkeeper,23/10/1992 (32),Belgium Poland,Charlton Athletic,"1,90m",,03/08/2023,Blackburn Rovers,€1.80m
23,Tim Krul,Goalkeeper,03/04/1988 (37),Netherlands,Retired,"1,93m",left,17/08/2023,Norwich City,€250k
1,James Shea,Goalkeeper,16/06/1991 (34),England Ireland,Luton Town,"1,85m",,03/07/2017,AFC Wimbledon,€150k
-,Jameson Horlick,Goalkeeper,22/03/2003 (22),England,Without Club,-,,01/07/2024,Luton Town U21,-
6,Mark McGuinness,Centre-Back,05/01/2001 (24),Ireland England,Sheffield United,"1,94m",right,20/08/2024,Cardiff City,€7.00m
15,Teden Mengi,Centre-Back,30/04/2002 (23),England Angola,Luton Town,"1,86m",right,31/08/2023,Manchester United,€5.50m
5,Mads Andersen,Centre-Back,27/12/1997 (27),Denmark,Luton Town,"1,94m",right,03/07/2023,Barnsley FC,€2.00m
-,Tom Holmes,Centre-Back,12/03/2000 (25),England,Rotherham United,"1,94m",right,17/01/2024,Reading FC,€1.80m
16,Reece Burke,Centre-Back,02/09/1996 (28),England,Charlton Athletic,"1,89m",right,01/07/2021,Hull City,€1.50m
3,Amari'i Bell,Centre-Back,05/05/1994 (31),Jamaica England,Charlton Athletic,"1,80m",left,01/07/2021,Blackburn Rovers,€1.20m
4,Tom Lockyer,Centre-Back,03/12/1994 (30),Wales,Bristol Rovers,"1,85m",right,01/09/2020,Charlton Athletic,€800k
28,Christ Makosso,Centre-Back,09/05/2004 (21),Congo,Luton Town,"1,92m",right,01/01/2025,RWD Molenbeek,€800k
-,Kal Naismith,Centre-Back,18/02/1992 (33),Scotland,Luton Town,"1,86m",right,01/07/2025,Bristol City,€250k
-,Christian Chigozie,Centre-Back,23/11/2007 (17),England Nigeria,Luton Town U21,-,right,,,-
38,Joe Johnson,Left-Back,21/02/2006 (19),England,Luton Town,"1,80m",left,01/07/2024,Luton Town U21,€300k
-,Erik Pieters,Left-Back,07/08/1988 (36),Netherlands,Without Club,"1,83m",left,19/12/2024,Without Club,€200k
-,Benedict Benagr,Left-Back,17/09/2007 (17),England,Luton Town U18,-,left,,,-
2,Reuell Walters,Right-Back,16/12/2004 (20),England Germany,Luton Town,"1,86m",right,11/07/2024,Arsenal FC U21,€3.00m
27,Daiki Hashioka,Right-Back,17/05/1999 (26),Japan,SK Slavia Prague,"1,84m",right,30/01/2024,Sint-Truidense VV,€1.80m
-,Aidan Francis-Clarke,Right-Back,02/07/2004 (20),England,Braintree Town,"1,81m",right,,,-
13,Marvelous Nakamba,Defensive Midfield,19/01/1994 (31),Zimbabwe,Luton Town,"1,77m",left,20/07/2023,Aston Villa,€1.80m
