#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
-,Angus Gunn,Goalkeeper,22/01/1996 (29),Scotland England,Nottingham Forest,"1,96m",right,01/07/2021,Southampton FC,€2.20m
39,Vicente Reyes,Goalkeeper,19/11/2003 (21),Chile Spain,Peterborough United,"1,96m",right,01/07/2024,Norwich City U21,€350k
-,George Long,Goalkeeper,05/11/1993 (31),England,Southampton FC,"1,93m",,17/08/2023,Millwall FC,€300k
-,Daniel Barden,Goalkeeper,02/01/2001 (24),Wales,Dagenham & Redbridge FC,"1,95m",right,01/07/2020,Norwich City U23,€100k
-,Archie Mair,Goalkeeper,10/02/2001 (24),Scotland,Morecambe FC,"1,98m",left,01/07/2024,Norwich City U21,€50k
-,Callum Doyle,Centre-Back,03/10/2003 (21),England,Wrexham AFC,"1,90m",left,06/08/2024,Manchester City U21,€15.00m
-,José Córdoba,Centre-Back,03/06/2001 (24),Panama,Norwich City,"1,85m",left,01/07/2024,Levski Sofia,€4.80m
15,Ruairi McConville,Centre-Back,01/05/2005 (20),Northern Ireland,Norwich City,"1,93m",right,03/02/2025,Brighton & Hove Albion U21,€1.80m
-,Shane Duffy,Centre-Back,01/01/1992 (33),Ireland Northern Ireland,Norwich City,"1,93m",right,01/07/2023,Fulham FC,€600k
-,Grant Hanley,Centre-Back,20/11/1991 (33),Scotland,Hibernian FC,"1,88m",right,30/08/2017,Newcastle United,€600k
-,Brad Hills,Centre-Back,10/03/2004 (21),England,Stockport County,"1,88m",right,01/07/2024,Norwich City U21,€500k
-,Jonathan Tomkinson,Centre-Back,11/04/2002 (23),United States England,Cheltenham Town,"1,90m",right,,,€125k
-,Jaden Warner,Centre-Back,28/10/2002 (22),England,Newport County,"1,94m",right,01/07/2024,Norwich City U21,€50k
-,Ben Chrisene,Left-Back,12/01/2004 (21),England,Norwich City,"1,83m",left,30/07/2024,Aston Villa U21,€1.50m
47,Lucien Mahovo,Left-Back,07/06/2005 (20),England Zimbabwe,Norwich City,-,left,01/01/2025,Norwich City U21,€200k
-,Jack Stacey,Right-Back,06/04/1996 (29),England,Norwich City,"1,80m",right,01/07/2023,AFC Bournemouth,€2.80m
-,Kellen Fisher,Right-Back,05/05/2004 (21),England,Norwich City,"1,82m",right,01/07/2023,Bromley FC,€1.50m
-,Jacob Lungi Sørensen,Defensive Midfield,03/03/1998 (27),Denmark,SK Brann,"1,84m",right,27/07/2020,Esbjerg fB,€1.00m
16,Jacob Wright,Defensive Midfield,21/09/2005 (19),England,Norwich City,"1,78m",right,01/07/2025,Manchester City U21,€800k
-,Uriah Djedje,Defensive Midfield,16/03/2006 (19),England,Norwich City U21,-,,,,-
