#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
-,Michael Cooper,Goalkeeper,08/10/1999 (25),England,Sheffield United,"1,86m",right,01/07/2017,Plymouth Argyle U18,€9.00m
21,Conor Hazard,Goalkeeper,05/03/1998 (27),Northern Ireland,Plymouth Argyle,"1,98m",left,11/07/2023,Celtic FC,€900k
31,Daniel Grimshaw,Goalkeeper,16/01/1998 (27),England,Norwich City,"1,85m",right,23/08/2024,Blackpool FC,€750k
-,Marko Marosi,Goalkeeper,23/10/1993 (31),Slovakia,Port Vale FC,"1,93m",right,13/09/2024,Without Club,€200k
33,Zak Baker,Goalkeeper,19/11/2004 (20),Scotland,Tiverton Town,"1,87m",right,01/07/2023,Plymouth Argyle U18,€100k
-,Daniel Holman,Goalkeeper,23/11/2006 (18),England,Tavistock FC,-,,,,-
40,Maksym Taloverov,Centre-Back,28/06/2000 (25),Ukraine,Stoke City,"1,96m",right,31/01/2025,LASK,€3.00m
-,Lewis Gibson,Centre-Back,19/07/2000 (24),England,Preston North End,"1,85m",left,03/07/2023,Everton FC U21,€2.00m
5,Julio Pleguezuelo,Centre-Back,26/01/1997 (28),Spain,Plymouth Argyle,"1,80m",right,01/07/2023,Twente Enschede FC,€1.50m
25,Nikola Katic,Centre-Back,10/10/1996 (28),Bosnia-Herzegovina Croatia,FC Schalke 04,"1,94m",right,31/01/2025,FC Zürich,€1.50m
6,Kornél Szűcs,Centre-Back,24/09/2001 (23),Hungary,Plymouth Argyle,"1,90m",right,05/08/2024,Kecskeméti TE,€500k
22,Brendan Galloway,Centre-Back,17/03/1996 (29),Zimbabwe England,Plymouth Argyle,"1,86m",left,21/07/2021,Luton Town,€300k
44,Victor Pálsson,Centre-Back,30/04/1991 (34),Iceland Portugal,AC Horsens,"1,86m",right,25/07/2024,KAS Eupen,€200k
-,Jack Matthews,Centre-Back,13/05/2006 (19),England,Bath City,"1,83m",right,01/07/2024,Plymouth Argyle U18,-
17,Tymoteusz Puchacz,Left-Back,23/01/1999 (26),Poland,Sabah FK,"1,83m",left,09/01/2025,Holstein Kiel,€1.50m
3,Nathanael Ogbeta,Left-Back,28/04/2001 (24),England Nigeria,Barnsley FC,"1,84m",left,01/07/2024,Swansea City,€350k
24,Saxon Earley,Left-Back,11/10/2002 (22),England,Stevenage FC,"1,77m",left,02/01/2023,Norwich City U21,€150k
2,Bali Mumba,Right-Back,08/10/2001 (23),England DR Congo,Plymouth Argyle,"1,68m",right,21/07/2023,Norwich City,€2.50m
29,Matthew Sorinola,Right-Back,19/02/2001 (24),England Nigeria,Plymouth Argyle,"1,73m",right,17/01/2024,Union Saint-Gilloise,€750k
8,Joe Edwards,Right-Back,31/10/1990 (34),England,Plymouth Argyle,"1,73m",right,01/07/2019,Walsall FC,€100k
20,Adam Randell,Defensive Midfield,01/10/2000 (24),England,Bristol City,"1,75m",right,01/07/2019,Plymouth Argyle U18,€2.20m
4,Jordan Houghton,Defensive Midfield,05/11/1995 (29),England,Stevenage FC,"1,83m",right,01/07/2021,Milton Keynes Dons,€1.00m
19,Malachi Boateng,Defensive Midfield,05/07/2002 (22),England Ghana,Plymouth Argyle,"1,82m",right,03/02/2025,Heart of Midlothian FC,€400k
-,Darko Gyabi,Central Midfield,18/02/2004 (21),England Ghana,Hull City,"1,96m",right,02/07/2024,Leeds United,€1.80m
11,Callum Wright,Central Midfield,02/05/2000 (25),England,Wigan Athletic,"1,82m",right,04/01/2023,Blackpool FC,€700k
-,Adam Forshaw,Central Midfield,08/10/1991 (33),England,Blackburn Rovers,"1,75m",right,19/01/2024,Norwich City,€250k
34,Caleb Roberts,Central Midfield,24/10/2005 (19),England,Plymouth Argyle,-,,18/08/2023,Plymouth Argyle U18,€200k
36,Josh Bernard,Central Midfield,12/04/2006 (19),Wales,Barry Town United,"1,76m",right,01/07/2024,Plymouth Argyle U18,-
-,Tegan Finn,Left Midfield,17/03/2008 (17),England,Plymouth Argyle,"1,80m",right,01/10/2024,Plymouth Argyle U18,€75k
30,Michael Baidoo,Attacking Midfield,14/05/1999 (26),Ghana,Umm Salal SC,"1,74m",right,03/01/2025,IF Elfsborg,€2.50m
28,Rami Al Hajj,Attacking Midfield,17/09/2001 (23),Sweden Lebanon,Silkeborg IF,"1,80m",right,30/08/2024,Odense Boldklub,€900k
-,Will Jenkins-Davies,Attacking Midfield,22/10/2004 (20),Wales England,Bath City,"1,72m",right,01/07/2022,Plymouth Argyle U18,-
-,Ibrahim Cissoko,Left Winger,26/03/2003 (22),Netherlands Guinea,Bolton Wanderers,"1,88m",right,09/07/2024,FC Toulouse,€1.50m
35,Freddie Issaka,Left Winger,28/07/2006 (18),Wales Ghana,Bristol Rovers,"1,77m",right,28/07/2023,Plymouth Argyle U18,€250k
-,Morgan Whittaker,Right Winger,07/01/2001 (24),England,Middlesbrough FC,"1,83m",left,17/07/2023,Swansea City,€10.00m
15,Mustapha Bundu,Right Winger,28/02/1997 (28),Sierra Leone,Hannover 96,"1,89m",right,01/09/2023,RSC Anderlecht,€1.00m
9,Ryan Hardie,Centre-Forward,17/03/1997 (28),Scotland,Wrexham AFC,"1,88m",right,29/01/2021,Blackpool FC,€1.80m
-,Michael Obafemi,Centre-Forward,06/07/2000 (24),Ireland Nigeria,VfL Bochum,"1,70m",right,22/08/2024,Burnley FC,€1.70m
26,Muhamed Tijani,Centre-Forward,26/07/2000 (24),Nigeria,SK Sigma Olomouc,"1,91m",right,02/07/2024,SK Slavia Prague,€700k
-,Andre Gray,Centre-Forward,26/06/1991 (34),Jamaica England,Fatih Karagümrük,"1,78m",right,04/10/2024,Without Club,€600k
-,Ben Waine,Centre-Forward,11/06/2001 (24),New Zealand England,Port Vale FC,"1,79m",right,01/01/2023,Wellington Phoenix,€550k
-,Joseph Hatch,Centre-Forward,07/09/2006 (18),Wales England,Plymouth Argyle,-,,01/07/2025,Plymouth Argyle U18,-
