#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
1,Paul Nardi,Goalkeeper,18/05/1994 (31),France,Queens Park Rangers,"1,88m",right,01/07/2024,KAA Gent,€1.80m
-,Murphy Cooper,Goalkeeper,27/12/2001 (23),England,Barnsley FC,"1,86m",right,01/07/2023,Queens Park Rangers U21,€250k
13,Joe Walsh,Goalkeeper,01/04/2002 (23),England,Queens Park Rangers,"1,93m",right,28/01/2021,Gillingham FC,€150k
41,Nathan Shepperd,Goalkeeper,10/09/2000 (24),Wales,The New Saints,"1,87m",both,13/09/2024,Without Club,€100k
17,Ronnie Edwards,Centre-Back,28/03/2003 (22),England,Southampton FC,"1,85m",right,01/01/2025,Southampton FC,€3.80m
6,Jake Clarke-Salter,Centre-Back,22/09/1997 (27),England Ireland,Queens Park Rangers,"1,88m",left,01/07/2022,Chelsea FC,€1.00m
16,Liam Morrison,Centre-Back,07/04/2003 (22),Scotland,Queens Park Rangers,"1,83m",right,05/07/2024,FC Bayern Munich II,€400k
5,Steve Cook,Centre-Back,19/04/1991 (34),England,Queens Park Rangers,"1,85m",right,09/08/2023,Nottingham Forest,€350k
-,Esquerdinha,Left-Back,28/02/2006 (19),Brazil,Queens Park Rangers,"1,83m",left,03/02/2025,Fluminense Football Club,€3.00m
22,Kenneth Paal,Left-Back,24/06/1997 (28),Suriname Netherlands,Antalyaspor,"1,74m",left,01/07/2022,PEC Zwolle,€2.80m
15,Morgan Fox,Left-Back,21/09/1993 (31),Wales England,Wigan Athletic,"1,85m",left,24/07/2023,Stoke City,€400k
3,Jimmy Dunne,Right-Back,19/10/1997 (27),Ireland Northern Ireland,Queens Park Rangers,"1,91m",right,13/07/2021,Burnley FC,€4.00m
-,Harrison Ashby,Right-Back,14/11/2001 (23),Scotland England,Newcastle United,"1,79m",right,30/08/2024,Newcastle United U21,€1.40m
-,Hevertton,Right-Back,01/02/2001 (24),Portugal Brazil,Gil Vicente FC,"1,83m",right,05/07/2024,CF Estrela Amadora,€1.00m
8,Sam Field,Defensive Midfield,08/05/1998 (27),England,Queens Park Rangers,"1,91m",left,01/07/2021,West Bromwich Albion,€3.20m
4,Jack Colback,Defensive Midfield,24/10/1989 (35),England,Without Club,"1,77m",left,01/08/2023,Nottingham Forest,€150k
-,Alexander Aoraha,Defensive Midfield,17/01/2003 (22),Iraq England,Queens Park Rangers U21,"1,78m",left,,,-
24,Nicolas Madsen,Central Midfield,17/03/2000 (25),Denmark,Queens Park Rangers,"1,92m",right,23/08/2024,KVC Westerlo,€3.50m
40,Jonathan Varane,Central Midfield,09/09/2001 (23),Martinique France,Queens Park Rangers,"1,90m",right,04/08/2024,Sporting Gijón,€1.40m
21,Kieran Morgan,Central Midfield,17/03/2006 (19),England,Queens Park Rangers,"1,85m",right,01/07/2024,Tottenham Hotspur U18,€800k
-,Elijah Dixon-Bonner,Central Midfield,01/01/2001 (24),England,Morecambe FC,"1,83m",right,13/10/2022,Without Club,€350k
-,Taylor Richards,Central Midfield,04/12/2000 (24),England,Without Club,"1,80m",left,01/07/2023,Brighton & Hove Albion,€275k
-,Alfie Tuck,Central Midfield,09/05/2006 (19),Wales,Hampton & Richmond Borough,-,left,,,-
-,Harvey Vale,Right Midfield,11/09/2003 (21),England Ireland,Queens Park Rangers,"1,81m",left,03/02/2025,Chelsea FC U21,€1.50m
10,Ilias Chair,Attacking Midfield,30/10/1997 (27),Morocco Belgium,Queens Park Rangers,"1,71m",right,01/07/2018,Queens Park Rangers U23,€6.00m
7,Karamoko Dembélé,Attacking Midfield,22/02/2003 (22),England Scotland,Queens Park Rangers,"1,67m",left,01/07/2025,Stade Brestois 29,€1.20m
25,Lucas Andersen,Attacking Midfield,13/09/1994 (30),Denmark,Without Club,"1,84m",right,05/02/2024,Aalborg BK,€350k
-,Lorent Talla,Attacking Midfield,01/01/2005 (20),Kosovo Albania,Rio Ave FC U23,"1,78m",left,,,-
