#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
-,James Beadle,Goalkeeper,16/07/2004 (20),England,Birmingham City,"2,01m",right,04/07/2024,Brighton & Hove Albion U21,€5.00m
47,Pierce Charles,Goalkeeper,21/07/2005 (19),Northern Ireland England,Sheffield Wednesday,"1,86m",right,01/07/2024,Sheffield Wednesday U21,€300k
26,Ben Hamer,Goalkeeper,20/11/1987 (37),England,Queens Park Rangers,"1,93m",right,01/07/2024,Watford FC,€100k
-,Jack Hall,Goalkeeper,10/10/2004 (20),England,Bradford (Park Avenue),"1,85m",right,,,-
-,Killian Barrett,Goalkeeper,15/03/2004 (21),Ireland,Boston United,"1,90m",left,01/07/2025,Sheffield Wednesday U21,-
5,Di'Shon Bernard,Centre-Back,14/10/2000 (24),Jamaica England,Sheffield Wednesday,"1,88m",right,31/07/2023,Manchester United U21,€1.60m
-,Bambo Diaby,Centre-Back,17/12/1997 (27),Spain Senegal,Elche CF,"1,88m",right,02/08/2023,Preston North End,€800k
23,Akin Famewo,Centre-Back,09/11/1998 (26),England Nigeria,Hull City,"1,88m",left,06/07/2022,Norwich City,€800k
6,Dominic Iorfa,Centre-Back,24/06/1995 (30),England Nigeria,Sheffield Wednesday,"1,88m",right,31/01/2019,Wolverhampton Wanderers,€300k
33,Gabriel Otegbayo,Centre-Back,11/02/2005 (20),Ireland Nigeria,Sheffield Wednesday,"1,93m",,01/01/2025,Sheffield Wednesday U21,€300k
20,Michael Ihiekwe,Centre-Back,20/11/1992 (32),England Nigeria,Blackpool FC,"1,85m",right,01/07/2022,Rotherham United,€250k
-,Mackenzie Maltby,Centre-Back,04/12/2004 (20),England Scotland,Sheffield Wednesday U21,-,,,,-
3,Max Lowe,Left-Back,11/05/1997 (28),England,Sheffield Wednesday,"1,75m",left,01/07/2024,Sheffield United,€2.50m
28,Ryo Hatsuse,Left-Back,10/07/1997 (27),Japan,Gamba Osaka,"1,80m",both,06/02/2025,Without Club,€800k
-,Sam Reed,Left-Back,27/03/2003 (22),England Wales,Altrincham FC,"1,87m",left,,,-
27,Yan Valery,Right-Back,22/02/1999 (26),Tunisia France,Sheffield Wednesday,"1,85m",right,01/07/2024,Angers SCO,€1.40m
14,Pol Valentín,Right-Back,21/02/1997 (28),Spain,Preston North End,"1,81m",right,28/07/2023,Sporting Gijón,€500k
2,Liam Palmer,Right-Back,19/09/1991 (33),Scotland England,Sheffield Wednesday,"1,88m",right,01/07/2010,Sheffield Wednesday U18,€150k
-,Shea Charles,Defensive Midfield,05/11/2003 (21),Northern Ireland England,Southampton FC,"1,89m",right,27/08/2024,Southampton FC,€10.00m
4,Nathaniel Chalobah,Defensive Midfield,12/12/1994 (30),England Sierra Leone,Sheffield Wednesday,"1,85m",right,13/07/2024,West Bromwich Albion,€800k
8,Svante Ingelsson,Central Midfield,14/06/1998 (27),Sweden,Sheffield Wednesday,"1,89m",left,01/07/2024,FC Hansa Rostock,€1.00m
40,Stuart Armstrong,Central Midfield,30/03/1992 (33),Scotland,Aberdeen FC,"1,83m",right,31/01/2025,Vancouver Whitecaps FC,€800k
10,Barry Bannan,Central Midfield,01/12/1989 (35),Scotland,Sheffield Wednesday,"1,69m",left,31/08/2015,Crystal Palace,€200k
-,Sean Fusire,Central Midfield,31/05/2005 (20),Zimbabwe England,Sheffield Wednesday,"1,81m",right,01/07/2024,Sheffield Wednesday U21,€100k
-,Rio Shipston,Central Midfield,07/11/2004 (20),England India,Sheffield Wednesday,"1,74m",,01/07/2025,Sheffield Wednesday U21,€75k
18,Marvin Johnson,Left Midfield,01/12/1990 (34),England,Port Vale FC,"1,78m",left,05/08/2021,Middlesbrough FC,€150k
11,Josh Windass,Attacking Midfield,09/01/1994 (31),England,Wrexham AFC,"1,75m",right,02/09/2020,Wigan Athletic,€600k
41,Djeidi Gassama,Left Winger,10/09/2003 (21),France Mauritania,Rangers FC,"1,77m",right,15/08/2023,Paris Saint-Germain,€2.00m
16,Ibrahim Cissoko,Left Winger,26/03/2003 (22),Netherlands Guinea,Bolton Wanderers,"1,88m",right,01/02/2025,FC Toulouse,€1.50m
45,Anthony Musaba,Left Winger,06/12/2000 (24),Netherlands DR Congo,Samsunspor,"1,82m",both,03/08/2023,AS Monaco,€1.50m
19,Olaf Kobacki,Left Winger,10/07/2001 (23),Poland,Sheffield Wednesday,"1,78m",right,03/07/2024,Arka Gdynia,€550k
-,Favour Onukwuli,Left Winger,09/04/2005 (20),England,Sheffield Wednesday U21,-,,,,-
-,Mallik Wilks,Right Winger,15/12/1998 (26),England,Pendikspor,"1,83m",left,22/08/2022,Hull City,€600k
12,Iké Ugbo,Centre-Forward,21/09/1998 (26),Canada England,Sheffield Wednesday,"1,84m",right,08/08/2024,ESTAC Troyes,€2.20m
9,Jamal Lowe,Centre-Forward,21/07/1994 (30),Jamaica England,Sheffield Wednesday,"1,83m",right,01/07/2024,AFC Bournemouth,€900k
-,Bailey Cadamarteri,Centre-Forward,09/05/2005 (20),Jamaica England,Sheffield Wednesday,"1,85m",right,01/01/2024,Sheffield Wednesday U21,€700k
13,Callum Paterson,Centre-Forward,13/10/1994 (30),Scotland England,Milton Keynes Dons,"1,83m",right,30/09/2020,Cardiff City,€600k
24,Michael Smith,Centre-Forward,17/10/1991 (33),England,Preston North End,"1,91m",right,01/07/2022,Rotherham United,€250k
17,Charlie McNeill,Centre-Forward,09/09/2003 (21),England Ireland,Sheffield Wednesday,"1,81m",right,10/07/2024,Manchester United U21,€200k
