#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
1,Viktor Johansson,Goalkeeper,14/09/1998 (26),Sweden,Stoke City,"1,87m",,01/07/2024,Rotherham United,€8.00m
13,Jack Bonham,Goalkeeper,14/09/1993 (31),Ireland England,Stoke City,"1,92m",right,01/07/2021,Gillingham FC,€300k
34,Frank Fielding,Goalkeeper,04/04/1988 (37),England,Stoke City,"1,85m",right,01/12/2021,Without Club,€100k
16,Ben Wilmot,Centre-Back,04/11/1999 (25),England Ireland,Stoke City,"1,88m",right,01/07/2021,Watford FC,€4.80m
26,Ashley Phillips,Centre-Back,26/06/2005 (20),England Wales,Stoke City,"1,96m",right,23/08/2024,Tottenham Hotspur,€2.80m
18,Bosun Lawal,Centre-Back,30/05/2003 (22),Ireland Nigeria,Stoke City,"1,90m",right,12/08/2024,Celtic FC B,€1.50m
23,Ben Gibson,Centre-Back,15/01/1993 (32),England,Stoke City,"1,85m",left,01/07/2024,Norwich City,€800k
5,Michael Rose,Centre-Back,11/10/1995 (29),Scotland,Salford City,"1,88m",right,17/07/2023,Coventry City,€500k
-,Jaden Dixon,Centre-Back,07/05/2007 (18),England Jamaica,Stoke City U21,"1,88m",right,,,€300k
-,Freddie Anderson,Centre-Back,23/10/2006 (18),United States England,Cork City FC,"1,87m",right,,,€75k
-,Jake Griffin,Centre-Back,30/12/2005 (19),Ireland England,Stoke City U21,-,right,,,-
33,Josh Wilson-Esbrand,Left-Back,26/12/2002 (22),England Jamaica,Radomiak Radom,"1,76m",left,22/01/2025,Manchester City,€4.00m
17,Eric-Junior Bocat,Left-Back,16/07/1999 (25),France Senegal,Stoke City,"1,84m",left,01/07/2024,Sint-Truidense VV,€2.20m
3,Enda Stevens,Left-Back,09/07/1990 (34),Ireland,Without Club,"1,83m",left,05/07/2023,Sheffield United,€150k
-,Laurence Giani,Left-Back,11/03/2008 (17),Italy England,Stoke City U21,"1,78m",left,,,-
2,Lynden Gooch,Right-Back,24/12/1995 (29),United States Ireland,Huddersfield Town,"1,73m",right,01/09/2023,Sunderland AFC,€1.00m
22,Junior Tchamadeu,Right-Back,22/12/2003 (21),Cameroon England,Stoke City,"1,80m",right,01/09/2023,Colchester United,€1.00m
6,Wouter Burger,Defensive Midfield,16/02/2001 (24),Netherlands,TSG 1899 Hoffenheim,"1,91m",left,25/08/2023,FC Basel 1893,€4.50m
-,William Smith,Defensive Midfield,30/11/2005 (19),England,Stoke City U21,-,,,,-
-,Josh Laurent,Central Midfield,06/05/1995 (30),England,Burnley FC,"1,88m",right,01/07/2022,Reading FC,€1.80m
8,Lewis Baker,Central Midfield,25/04/1995 (30),England Jamaica,Stoke City,"1,82m",right,15/01/2022,Chelsea FC,€1.20m
30,Sol Sidibé,Central Midfield,10/02/2007 (18),England France,PSV Eindhoven U21,"1,84m",right,01/07/2024,Stoke City U21,€1.20m
4,Ben Pearson,Central Midfield,04/01/1995 (30),England,Stoke City,"1,76m",right,08/07/2023,AFC Bournemouth,€1.00m
15,Jordan Thompson,Central Midfield,03/01/1997 (28),Northern Ireland,Preston North End,"1,80m",left,17/01/2020,Blackpool FC,€900k
12,Tatsuki Seko,Central Midfield,22/12/1997 (27),Japan,Stoke City,"1,75m",right,30/08/2024,Kawasaki Frontale,€700k
-,Daniel Johnson,Central Midfield,08/10/1992 (32),Jamaica England,Fatih Karagümrük,"1,74m",left,19/07/2023,Preston North End,€500k
-,Darius Lipsiuc,Central Midfield,16/09/2005 (19),Ireland,Solihull Moors,-,,,,-
-,Ruben Curley,Central Midfield,05/09/2005 (19),England,Stoke City U21,-,,,,-
-,Andrew Moran,Attacking Midfield,15/10/2003 (21),Ireland,Los Angeles FC,"1,77m",right,16/08/2024,Brighton & Hove Albion U21,€3.50m
10,Jun-ho Bae,Attacking Midfield,21/08/2003 (21),"Korea, South",Stoke City,"1,80m",right,31/08/2023,Daejeon Hana Citizen,€3.00m
-,Jack Griffiths,Attacking Midfield,31/07/2005 (19),England,Rochdale AFC,-,,,,-
-,Lewis Koumas,Left Winger,19/09/2005 (19),Wales England,Birmingham City,"1,82m",right,10/08/2024,Liverpool FC U21,€2.00m
7,André Vidigal,Left Winger,17/08/1998 (26),Angola Portugal,Stoke City,"1,76m",right,24/07/2023,CS Marítimo,€1.20m
42,Million Manhoef,Right Winger,03/01/2002 (23),Netherlands Suriname,Stoke City,"1,79m",left,01/02/2024,Vitesse Arnhem,€3.80m
-,Favour Fawunmi,Right Winger,26/04/2006 (19),England Nigeria,Stoke City U21,-,left,,,-
-,Chinonso Chibueze,Right Winger,28/01/2006 (19),England Nigeria,Stoke City U21,-,left,,,-
-,Kieron Willox,Right Winger,18/04/2006 (19),Scotland,Stoke City U21,-,,,,-
-,Tom Cannon,Centre-Forward,28/12/2002 (22),Ireland England,Sheffield United,"1,80m",right,30/08/2024,Leicester City,€10.00m
9,Ali Al-Hamadi,Centre-Forward,01/03/2002 (23),Iraq England,Luton Town,"1,87m",right,24/01/2025,Ipswich Town,€2.50m
19,Ryan Mmaee,Centre-Forward,01/11/1997 (27),Morocco Belgium,Omonia Nicosia,"1,85m",right,28/07/2023,Ferencvárosi TC,€1.40m
20,Sam Gallagher,Centre-Forward,15/09/1995 (29),England Scotland,Stoke City,"1,93m",right,31/07/2024,Blackburn Rovers,€1.40m
-,Niall Ennis,Centre-Forward,20/05/1999 (26),England Jamaica,Blackpool FC,"1,78m",right,01/02/2024,Blackburn Rovers,€750k
37,Emre Tezgel,Centre-Forward,19/09/2005 (19),England Türkiye,Crewe Alexandra,"1,82m",right,01/07/2024,Stoke City U21,€500k
35,Nathan Lowe,Centre-Forward,18/09/2005 (19),England,Stockport County,"1,93m",right,01/07/2023,Stoke City U18,€250k
-,Keke Jeffers,Centre-Forward,18/02/2005 (20),England,Without Club,"1,86m",,,,-
