#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
22,Lawrence Vigouroux,Goalkeeper,19/11/1993 (31),Chile England,Swansea City,"1,94m",left,23/07/2024,Burnley FC,€450k
29,Nathan Broome,Goalkeeper,03/01/2002 (23),England,Bolton Wanderers,-,,30/08/2023,AFC Wimbledon,€100k
33,Jon McLaughlin,Goalkeeper,09/09/1987 (37),Scotland,Middlesbrough FC,"1,91m",,28/08/2024,Rangers FC,€75k
-,Kit Margetson,Goalkeeper,10/07/2006 (18),Wales,Connah's Quay Nomads,-,both,,,-
5,Ben Cabango,Centre-Back,30/05/2000 (25),Wales Angola,Swansea City,"1,86m",right,01/07/2019,Swansea City U23,€9.00m
6,Harry Darling,Centre-Back,08/08/1999 (25),England,Norwich City,"1,89m",right,01/07/2022,Milton Keynes Dons,€3.50m
28,Hannes Delcroix,Centre-Back,28/02/1999 (26),Haiti Belgium,Burnley FC,"1,83m",left,24/01/2025,Burnley FC,€3.50m
-,Nelson Abbey,Centre-Back,28/08/2003 (21),England Nigeria,Rio Ave FC,"1,87m",left,23/08/2024,Olympiacos Piraeus,€700k
-,Arthur Parker,Centre-Back,03/05/2006 (19),England,Swansea City U21,"1,86m",right,,,-
14,Josh Tymon,Left-Back,22/05/1999 (26),England,Swansea City,"1,80m",left,01/09/2023,Stoke City,€3.50m
3,Kristian Pedersen,Left-Back,04/08/1994 (30),Denmark,FC Fredericia,"1,89m",left,01/09/2023,1.FC Köln,€500k
21,Nathan Tjoe-A-On,Left-Back,22/12/2001 (23),Indonesia Netherlands,Willem II Tilburg,"1,82m",left,13/08/2023,Excelsior Rotterdam,€350k
2,Josh Key,Right-Back,19/11/1999 (25),England Ireland,Swansea City,"1,78m",right,04/07/2023,Exeter City,€800k
23,Cyrus Christie,Right-Back,30/09/1992 (32),Ireland England,Bolton Wanderers,"1,88m",right,01/11/2024,Without Club,€200k
41,Sam Parker,Right-Back,07/07/2006 (18),Wales,Swansea City,"1,78m",right,01/01/2024,Swansea City U21,€150k
26,Kyle Naughton,Right-Back,17/11/1988 (36),England Ireland,Without Club,"1,81m",right,22/01/2015,Tottenham Hotspur,€75k
-,Matt Grimes,Defensive Midfield,15/07/1995 (29),England,Coventry City,"1,78m",left,03/01/2015,Exeter City,€5.00m
-,Lewis O'Brien,Central Midfield,14/10/1998 (26),England,Wrexham AFC,"1,73m",left,03/02/2025,Nottingham Forest,€4.00m
17,Gonçalo Franco,Central Midfield,17/11/2000 (24),Portugal,Swansea City,"1,76m",right,12/07/2024,Moreirense FC,€3.50m
4,Jay Fulton,Central Midfield,01/04/1994 (31),Scotland England,Swansea City,"1,85m",right,31/01/2014,Falkirk FC,€800k
7,Joe Allen,Central Midfield,14/03/1990 (35),Wales,Retired,"1,70m",right,08/07/2022,Stoke City,€200k
-,Daniel Watts,Central Midfield,16/12/2005 (19),Wales,Swansea City U21,"1,70m",right,,,-
-,Azeem Abdulai,Left Midfield,09/12/2002 (22),Scotland Sierra Leone,Leyton Orient,"1,83m",right,01/07/2023,Swansea City U21,€350k
45,Cameron Congreve,Left Midfield,24/01/2004 (21),Wales,Dundee FC,"1,80m",right,01/07/2022,Swansea City U18,€300k
31,Oliver Cooper,Attacking Midfield,14/12/1999 (25),Wales England,Wigan Athletic,"1,76m",right,01/07/2020,Swansea City U23,€3.00m
-,Myles Peart-Harris,Attacking Midfield,18/09/2002 (22),Jamaica England,Brentford FC,"1,87m",right,30/08/2024,Brentford FC,€900k
-,Ben Lloyd,Attacking Midfield,14/03/2005 (20),Wales,Newport County,"1,75m",left,01/07/2025,Swansea City U21,-
10,Ji-sung Eom,Left Winger,09/05/2002 (23),"Korea, South",Swansea City,"1,76m",right,15/07/2024,Gwangju FC,€1.40m
11,Josh Ginnelly,Left Winger,24/03/1997 (28),England,Without Club,"1,75m",left,03/07/2023,Heart of Midlothian FC,€600k
-,Aimar Govea,Left Winger,08/06/2006 (19),Ecuador Spain,Girona FC B,-,,,,-
19,Florian Bianchini,Right Winger,25/06/2001 (24),France DR Congo,Portsmouth FC,"1,77m",right,23/08/2024,SC Bastia,€2.00m
35,Ronald,Right Winger,14/06/2001 (24),Brazil,Swansea City,"1,77m",right,29/01/2024,GE Anápolis,€2.00m
20,Liam Cullen,Centre-Forward,23/04/1999 (26),Wales,Swansea City,"1,78m",left,01/01/2020,Swansea City U23,€3.00m
-,Jerry Yates,Centre-Forward,10/11/1996 (28),England,Luton Town,"1,75m",right,12/07/2023,Blackpool FC,€2.80m
9,Zan Vipotnik,Centre-Forward,18/03/2002 (23),Slovenia,Swansea City,"1,85m",both,01/08/2024,FC Girondins Bordeaux,€2.50m
-,Josh Thomas,Centre-Forward,24/09/2002 (22),Wales England,Drogheda United FC,"1,72m",right,01/07/2024,Swansea City U21,€100k
