#,Player,Position,Date of birth/Age,Nat.,Current club,Height,Foot,Joined,Signed from,Market value
-,Alex Palmer,Goalkeeper,10/08/1996 (28),England,Ipswich Town,"1,91m",right,01/07/2017,West Bromwich Albion U23,€1.00m
20,Josh Griffiths,Goalkeeper,05/09/2001 (23),England,West Bromwich Albion,"1,97m",right,01/07/2020,West Bromwich Albion U18,€1.00m
23,Joe Wildsmith,Goalkeeper,28/12/1995 (29),England,West Bromwich Albion,"1,89m",right,10/07/2024,Derby County,€400k
-,Ted Cann,Goalkeeper,27/12/2000 (24),England,Rotherham United,"1,88m",left,01/07/2023,West Bromwich Albion U21,€100k
3,Mason Holgate,Centre-Back,22/10/1996 (28),Jamaica England,Al-Gharafa SC,"1,87m",right,30/08/2024,Everton FC,€4.00m
-,Paddy McNair,Centre-Back,27/04/1995 (30),Northern Ireland,San Diego FC,"1,89m",right,26/07/2024,San Diego FC,€3.00m
14,Torbjørn Heggem,Centre-Back,12/01/1999 (26),Norway,Bologna FC 1909,"1,92m",left,04/07/2024,IF Brommapojkarna,€1.20m
6,Semi Ajayi,Centre-Back,09/11/1993 (31),Nigeria England,Hull City,"1,93m",right,20/07/2019,Rotherham United,€1.00m
-,Caleb Taylor,Centre-Back,14/01/2003 (22),England,Millwall FC,"1,88m",right,01/07/2022,West Bromwich Albion U21,€700k
5,Kyle Bartley,Centre-Back,22/05/1991 (34),England Jamaica,Retired,"1,94m",right,16/07/2018,Swansea City,€250k
-,Michael Parker,Centre-Back,18/12/2004 (20),England,Hereford FC,"1,93m",left,,,-
-,Muhamed Diomande,Centre-Back,16/02/2006 (19),Italy Cote d'Ivoire,West Bromwich Albion U21,-,right,,,-
-,Jamal Mohammed,Centre-Back,02/03/2006 (19),England,West Bromwich Albion U21,"1,96m",right,,,-
4,Callum Styles,Left-Back,27/03/2000 (25),Hungary England,West Bromwich Albion,"1,67m",left,24/08/2024,Barnsley FC,€2.50m
24,Gianluca Frabotta,Left-Back,24/06/1999 (26),Italy,Cesena FC,"1,87m",left,06/08/2024,Juventus FC,€1.20m
2,Darnell Furlong,Right-Back,31/10/1995 (29),England Montserrat,Ipswich Town,"1,83m",right,23/07/2019,Queens Park Rangers,€2.80m
